level,model_id,window_start,MAE,RMSE,WAPE,actual_sum,prediction_sum,n_units
product,calendar_ridge,2022-03-01,41.08671238485251,45.28687287962686,0.4153669322815755,1187.0,1516.3979224992704,12.0
product,calendar_ridge,2022-03-08,50.583583728769476,59.13527518023449,0.4090316743566265,1484.0,1511.1979698666942,12.0
product,calendar_ridge,2022-03-15,39.17156439693034,40.584621021816254,0.4041777925736579,1163.0,1521.5158491975021,12.0
product,calendar_ridge,2022-03-22,57.163737878923996,72.6783583367905,0.5590585611630708,1227.0,1515.5425823088492,12.0
product,calendar_ridge,2022-03-25,57.26588120773129,79.92447423079982,0.5302396408123268,1296.0,1512.6401976336292,12.0
product,historical_mean_28,2022-03-01,26.291666666666668,47.55829755854037,0.2657961246840775,1187.0,951.0,12.0
product,historical_mean_28,2022-03-08,42.9375,65.99120048663055,0.34720350404312667,1484.0,979.25,12.0
product,historical_mean_28,2022-03-15,14.770833333333334,22.447972254378197,0.15240756663800517,1163.0,1148.25,12.0
product,historical_mean_28,2022-03-22,24.375,45.74464904955187,0.23838630806845965,1227.0,1223.5,12.0
product,historical_mean_28,2022-03-25,29.166666666666668,52.46874069386457,0.2700617283950617,1296.0,1254.0,12.0
product,lag_random_forest,2022-03-01,26.825147318691197,38.540598139242235,0.2711893578974679,1187.0,1105.5228918834173,12.0
product,lag_random_forest,2022-03-08,27.087242612223253,37.36689007861023,0.2190343068373848,1484.0,1343.2802853233832,12.0
product,lag_random_forest,2022-03-15,55.58567538700586,90.82240573004782,0.5735409326260278,1163.0,1816.008149914897,12.0
product,lag_random_forest,2022-03-22,27.605866069274146,44.63084483112854,0.2699840202374,1227.0,1379.75727862532,12.0
product,lag_random_forest,2022-03-25,31.249126811024272,59.55471415572015,0.2893437667687433,1296.0,1501.721499489925,12.0
product,lag_ridge,2022-03-01,30.810134095443797,33.98165238231855,0.31147566061105775,1187.0,1346.1700813818213,12.0
product,lag_ridge,2022-03-08,38.60779837039222,48.673153491628455,0.3121924396527673,1484.0,1403.302669233743,12.0
product,lag_ridge,2022-03-15,28.156588347940886,30.60072281670687,0.2905236974852026,1163.0,1484.8759342206388,12.0
product,lag_ridge,2022-03-22,45.672457598132816,62.51989600694844,0.4466744019377293,1227.0,1416.7170365654063,12.0
product,lag_ridge,2022-03-25,44.49957184272171,68.29969328058027,0.4120330726177936,1296.0,1399.7719977146733,12.0
product,seasonal_naive_7,2022-03-01,19.583333333333332,32.30196072480224,0.1979780960404381,1187.0,1060.0,12.0
product,seasonal_naive_7,2022-03-08,26.916666666666668,38.06682720339762,0.21765498652291104,1484.0,1187.0,12.0
product,seasonal_naive_7,2022-03-15,29.083333333333332,45.90660809367935,0.3000859845227859,1163.0,1484.0,12.0
product,seasonal_naive_7,2022-03-22,26.833333333333332,53.44935297394472,0.2624286878565607,1227.0,1163.0,12.0
product,seasonal_naive_7,2022-03-25,26.083333333333332,40.33298897924626,0.24151234567901234,1296.0,1169.0,12.0
product,stage2_best,2022-03-01,19.490225633593496,33.52339342489572,0.1970368219065897,1187.0,1045.0960582615808,12.0
product,stage2_best,2022-03-08,29.552530294243354,42.64659069601634,0.23896924766234517,1484.0,1167.3601850432813,12.0
product,stage2_best,2022-03-15,16.93333839217311,25.277354597075362,0.1747206024987767,1163.0,1313.207295800824,12.0
product,stage2_best,2022-03-22,21.580840022154717,43.88114444825605,0.21105956011887253,1227.0,1207.9253355186693,12.0
product,stage2_best,2022-03-25,26.393511410247573,49.34358165750834,0.24438436490969975,1296.0,1171.7159272108665,12.0
product_via_store_product,calendar_ridge,2022-03-01,38.5359915174029,43.85315924506974,0.3895803691734076,1187.0,1519.5597569555641,12.0
product_via_store_product,calendar_ridge,2022-03-08,46.89335608720189,55.36140901894319,0.3791915586566191,1484.0,1514.6550315081515,12.0
product_via_store_product,calendar_ridge,2022-03-15,37.31481791554168,39.8015606230748,0.38501961735726586,1163.0,1524.9348408438434,12.0
product_via_store_product,calendar_ridge,2022-03-22,56.476047840522,71.55549717878078,0.5523329862153741,1227.0,1519.2515412349328,12.0
product_via_store_product,calendar_ridge,2022-03-25,56.5929659263241,78.49043547834697,0.5240089437622601,1296.0,1516.4621983217369,12.0
product_via_store_product,historical_mean_28,2022-03-01,26.291666666666668,47.55829755854037,0.2657961246840775,1187.0,951.0,12.0
product_via_store_product,historical_mean_28,2022-03-08,42.9375,65.99120048663055,0.34720350404312667,1484.0,979.25,12.0
product_via_store_product,historical_mean_28,2022-03-15,14.770833333333334,22.447972254378197,0.15240756663800517,1163.0,1148.25,12.0
product_via_store_product,historical_mean_28,2022-03-22,24.375,45.74464904955187,0.23838630806845965,1227.0,1223.5,12.0
product_via_store_product,historical_mean_28,2022-03-25,29.166666666666668,52.46874069386457,0.2700617283950617,1296.0,1254.0,12.0
product_via_store_product,lag_random_forest,2022-03-01,21.831144101769297,24.007327345404814,0.22070238350567106,1187.0,1360.111932646621,12.0
product_via_store_product,lag_random_forest,2022-03-08,28.108014841684707,31.66096009239143,0.227288529717127,1484.0,1661.6428039858176,12.0
product_via_store_product,lag_random_forest,2022-03-15,51.67053617324152,69.72270592164219,0.5331439673937217,1163.0,1783.0464340788983,12.0
product_via_store_product,lag_random_forest,2022-03-22,31.52372124776923,42.61197081950793,0.30830045230092157,1227.0,1484.1670776298452,12.0
product_via_store_product,lag_random_forest,2022-03-25,29.108851172099175,39.930904802896016,0.26952639974165904,1296.0,1439.2634093967763,12.0
product_via_store_product,lag_ridge,2022-03-01,33.60631618633746,39.84924661800464,0.33974371881722787,1187.0,1496.7589649728875,12.0
product_via_store_product,lag_ridge,2022-03-08,39.250439456688106,46.6088688790184,0.3173889983020602,1484.0,1534.5180911628927,12.0
product_via_store_product,lag_ridge,2022-03-15,39.5266003484569,43.63551026843428,0.4078411041973197,1163.0,1637.3192041814827,12.0
product_via_store_product,lag_ridge,2022-03-22,60.82898518389453,70.6066463398932,0.5949045005759857,1227.0,1634.5653750468036,12.0
product_via_store_product,lag_ridge,2022-03-25,57.88116352422974,71.8715768642055,0.5359366992984235,1296.0,1623.659371934825,12.0
product_via_store_product,seasonal_naive_7,2022-03-01,19.583333333333332,32.30196072480224,0.1979780960404381,1187.0,1060.0,12.0
product_via_store_product,seasonal_naive_7,2022-03-08,26.916666666666668,38.06682720339762,0.21765498652291104,1484.0,1187.0,12.0
product_via_store_product,seasonal_naive_7,2022-03-15,29.083333333333332,45.90660809367935,0.3000859845227859,1163.0,1484.0,12.0
product_via_store_product,seasonal_naive_7,2022-03-22,26.833333333333332,53.44935297394472,0.2624286878565607,1227.0,1163.0,12.0
product_via_store_product,seasonal_naive_7,2022-03-25,26.083333333333332,40.33298897924626,0.24151234567901234,1296.0,1169.0,12.0
product_via_store_product,stage2_best,2022-03-01,21.793759899753496,36.100358510566984,0.22032444717526703,1187.0,1029.6049881619874,12.0
product_via_store_product,stage2_best,2022-03-08,28.486003895898993,41.726025691952984,0.2303450449803153,1484.0,1163.5165543448602,12.0
product_via_store_product,stage2_best,2022-03-15,21.592710058643522,32.85202580852173,0.22279666440560816,1163.0,1332.7985629986065,12.0
product_via_store_product,stage2_best,2022-03-22,18.168136600048637,35.98790263811547,0.177683487531038,1227.0,1206.941558028654,12.0
product_via_store_product,stage2_best,2022-03-25,31.14963714581856,52.85843515625534,0.2884225661649867,1296.0,1249.7532483207697,12.0
store,calendar_ridge,2022-03-01,85.93884527772552,91.93874784700294,0.5068002670127032,1187.0,1515.9014686382038,7.0
store,calendar_ridge,2022-03-08,62.40522743684132,69.67627896976576,0.2943642803624591,1484.0,1510.7192728968405,7.0
