product_id,product_name,category,MAE,RMSE,WAPE,WAPE_pct,n
12000292,红牛,功能饮料,4.33104258288321,6.967383534125989,0.5834256675224119,58.34256675224119,196
12000134,百事可乐600ml,碳酸饮料,2.044594321829205,2.8681308203637967,0.602617273802292,60.2617273802292,196
11002561,乡吧哥蜜汁鸡翅,包装散称,4.920852168823229,7.677818876642113,0.7246333772271623,72.46333772271623,196
11000405,百事可乐330ml,碳酸饮料,2.2515203098827024,4.511635331026911,0.9174594194116624,91.74594194116624,196
11005780,大丰古法瓜子,包装坚果,0.8805156825008262,1.2800367870954183,0.9918452515526548,99.18452515526548,196
11008516,李子柒螺蛳粉335g,速食类,1.040125696831605,1.7191906271108819,0.9993364538186009,99.93364538186009,196
11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,0.9932692885284686,1.511977800315915,1.0087087075211392,100.87087075211392,196
12001131,旺仔牛奶,乳类饮品,1.7371453746422807,2.934239254393593,1.0673369699996458,106.73369699996458,196
11002605,老板仔香脆海苔卷（原味）,包装海苔,0.5417895899310149,0.9683572810615165,1.1061537461091555,110.61537461091555,196
11002170,三养辣火鸡味拌面,速食类,0.7690562974707038,1.3477658785645015,1.2994399508987753,129.94399508987752,196
11004973,特仑苏纯牛奶,乳类饮品,0.4754233592215931,0.6741484745547266,1.4790948953560674,147.90948953560675,84
11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,1.4222506513513297e-81,4.888479196177689e-81,,,84
