category,nobs,r_squared,activity_coef,activity_p,holiday_coef,holiday_p,avg_temperature_coef,avg_temperature_p,weather_max_abs_coef,weather_terms_count,status
乳类饮品,7220,0.26014772676027775,0.20594683990410734,2.5403687978064946e-07,0.08820179048455787,0.0013316976731067728,0.0026210660798646475,0.23341833417817504,0.16916590100053833,3,ok
功能饮料,5054,0.379985892048999,0.3281493771954486,0.001365811475951859,0.08136349405736676,0.15876256766672925,0.006167613114398251,0.17976963332048723,0.3548289683299557,3,ok
包装冲饮,2166,0.08801312134832051,-0.013112464943318426,0.07277914769952654,-0.015405880586649708,0.059504467928683996,0.00010639109538479322,0.8758862447405891,0.033677371619353,3,ok
包装坚果,5054,0.3137867538423009,0.3633040016393372,3.902569005194115e-11,0.0013084289846235532,0.9664320121727198,-0.0030399460400961924,0.20023928271821834,0.4538001177615928,3,ok
包装散称,5054,0.41480156295944015,0.8378516196510202,1.4177235410283126e-15,0.004040817708224793,0.9436602312302885,-0.0005822705081677359,0.8897785288231296,0.6065336596788216,3,ok
包装海苔,13718,0.33928824055871976,0.368311381262706,1.8889860457892597e-16,0.06431073862349845,0.0009154880758212839,-0.00013438500588904456,0.9216848557547618,0.27240670766032965,3,ok
碳酸饮料,10108,0.45335620387375253,0.36144256414650816,1.1212397884510975e-25,0.06300413959338048,0.0219055563296677,0.009664029323615835,0.00011348608530236392,0.30876230568310525,3,ok
速食类,10108,0.28474365552938885,0.16376890100748648,1.5982434079205275e-06,-0.01139470905067677,0.5134537891180648,0.0009115128317914049,0.5318839699173616,0.029791105535677938,3,ok
