store_id,store_name,product_id,product_name,category,model,model_label,predicted_7day_sales
14,C地彩虹南路店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,35.157117081654114
14,C地彩虹南路店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,31.59534038699987
14,C地彩虹南路店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,16.768707214664648
14,C地彩虹南路店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,15.902927881753797
14,C地彩虹南路店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,12.468584941991944
14,C地彩虹南路店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,10.884349292388857
14,C地彩虹南路店,11004973,特仑苏纯牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,4.088359899451102
14,C地彩虹南路店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,2.7769138437605214
14,C地彩虹南路店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,1.8594834832547846
14,C地彩虹南路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,0.4445534410676305
14,C地彩虹南路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,0.0007796792515900597
14,C地彩虹南路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,exp_smoothing,问题一门店-商品指数平滑,5.519748812780823e-89
18,A地天九街店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,75.6467796144026
18,A地天九街店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,41.7126310111509
18,A地天九街店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,37.30892341843269
18,A地天九街店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,22.586592315436853
18,A地天九街店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,16.044878324439523
18,A地天九街店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,11.604030089197119
18,A地天九街店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,9.834659903042153
18,A地天九街店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,4.786309388867321
18,A地天九街店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,4.274333708288001
18,A地天九街店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,0.00016295139821992613
23,C地姜山店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,79.51083325057503
23,C地姜山店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,12.83254949562633
23,C地姜山店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,9.55531586359986
23,C地姜山店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,9.140098771647502
23,C地姜山店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,8.788362773847293
23,C地姜山店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,7.914012521733421
23,C地姜山店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,7.425865241752226
23,C地姜山店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,6.36846118847063
23,C地姜山店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,4.400672917278467
23,C地姜山店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,2.8543820263693642
23,C地姜山店,11004973,特仑苏纯牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,0.0038171881111364763
47,C地桑田路店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,44.14643346414008
47,C地桑田路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,22.196748525099625
47,C地桑田路店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,15.429314009582276
47,C地桑田路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,8.270387616346575
47,C地桑田路店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,7.9085600475112
47,C地桑田路店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,7.049180907893
47,C地桑田路店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,5.588376396883214
47,C地桑田路店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,5.418493718113953
47,C地桑田路店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,4.733266387498938
47,C地桑田路店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,3.804059407676438
47,C地桑田路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,exp_smoothing,问题一门店-商品指数平滑,2.3021025284e-314
