factor_cn,regression_comparable_effect,rf_permutation_importance,regression_comparable_effect_scaled,rf_permutation_importance_scaled
活动日,0.3256075588857611,0.07382779874264506,1.0,1.0
天气,0.32470044644273044,0.0,0.9972140927989055,0.0
节假日,0.04634457902513462,1.6653345369377348e-16,0.14233262637921298,2.255701192910943e-15
风力,0.023017370785351533,0.002778240899478812,0.0706905296182855,0.037631365783550315
平均温度,0.016038859588188528,0.0015829348953540767,0.049258253226902936,0.02144090603150718
昼夜温差,0.011659555163264569,0.0011424312627152655,0.03580861329867132,0.01547426961350487
周末,0.0,0.006546463327965296,0.0,0.0886720644453384
温度分箱,0.0,0.0,0.0,0.0
