product_a,product_b,corr_mean,corr_std,positive_store_count,negative_store_count,strong_positive_store_count,store_count
11008516-李子柒螺蛳粉335g,12000292-红牛,0.044397007467479044,0.07211783481894503,6,1,0,7
11008644-洽洽早餐每日坚果（燕麦片）,12001131-旺仔牛奶,0.035148527817308955,0.053262856713311615,2,1,0,3
11002170-三养辣火鸡味拌面,11008644-洽洽早餐每日坚果（燕麦片）,0.015950403018786516,0.05693825339982605,1,2,0,3
11008644-洽洽早餐每日坚果（燕麦片）,12000292-红牛,0.015018122864631495,0.019081920892232703,2,1,0,3
11004973-特仑苏纯牛奶,11008516-李子柒螺蛳粉335g,0.01375822242927193,0.10439720280677567,2,1,0,3
11008644-洽洽早餐每日坚果（燕麦片）,12000134-百事可乐600ml,0.011996496818678053,0.02168258935451622,2,1,0,3
11002561-乡吧哥蜜汁鸡翅,11008644-洽洽早餐每日坚果（燕麦片）,-0.008540159838752467,0.03502735169294908,1,2,0,3
11008516-李子柒螺蛳粉335g,11008644-洽洽早餐每日坚果（燕麦片）,-0.01128450416270521,0.025498747210110213,2,1,0,3
11000405-百事可乐330ml,11008644-洽洽早餐每日坚果（燕麦片）,-0.013908547020493647,0.010259062750322718,0,3,0,3
11004973-特仑苏纯牛奶,11008644-洽洽早餐每日坚果（燕麦片）,-0.02212477120569741,,0,1,0,1
11005780-大丰古法瓜子,11008644-洽洽早餐每日坚果（燕麦片）,-0.02576632816266253,0.031614261144937296,1,2,0,3
11002605-老板仔香脆海苔卷（原味）,11008644-洽洽早餐每日坚果（燕麦片）,-0.028621592500871467,0.012498896008629268,0,3,0,3
11001020-韩国海牌海苔 / 韩国海飘海苔,11008644-洽洽早餐每日坚果（燕麦片）,-0.03352809663866115,0.0189085806629721,0,3,0,3
