validation_mode,validation_start,validation_end,level,model,model_label,feature_scope,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,bias,bias_pct_of_actual,n,WAPE_pct_point_change_vs_full,WAPE_pct_point_change_vs_q1
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_full_external,完整综合Ridge,历史滞后 + 日历 + 节假日/活动日 + 天气 + 门店/商品/类别,7.7887590079020645,13.858142604446213,0.3447306891464261,34.47306891464261,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,224,-42.210791617924954,-41.87307176083594
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_no_weather,去天气Ridge,去除天气、温度、风力，保留历史、日历、节假日/活动日和门店/商品/类别,7.881509503277018,13.709442234846653,0.34883582863743373,34.88358286374337,5061.0,5186.9449431788,125.9449431787998,0.024885386915392178,224,-41.800277668824194,-41.46255781173518
strict_recursive_7day,2022-03-01,2022-03-28,category,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,仅使用该门店-商品自身历史销量，不使用外部变量,8.126639157522604,14.552257272596073,0.35968527391524663,35.96852739152466,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,224,-40.715333141042905,-40.37761328395389
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_no_event,去节假日活动Ridge,去除节假日和活动日，保留历史、日历、天气和门店/商品/类别,8.198511110438243,14.810128266149242,0.362866328539452,36.2866328539452,5061.0,4899.825211603117,-161.17478839688283,-0.03184643121851074,224,-40.397227678622365,-40.05950782153335
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_no_activity,去活动日Ridge,去除活动日，保留历史、日历、节假日、天气和门店/商品/类别,8.227287544772578,14.80969862093117,0.3641399743191182,36.413997431911824,5061.0,4938.967999952362,-122.03200004763767,-0.024112230793842653,224,-40.26986310065574,-39.93214324356673
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_history_calendar,历史日历Ridge,历史滞后/滚动 + 星期/月/周末 + 门店/商品/类别,8.229126232244457,14.558904408112681,0.3642213546774864,36.42213546774864,5061.0,5110.880845818776,49.880845818775924,0.009855926856110635,224,-40.261725064818926,-39.92400520772991
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_history_id_category,仅历史与层级Ridge,仅使用历史滞后/滚动特征和门店/商品/类别,8.356554130372597,14.667600589664572,0.3698613169736143,36.98613169736143,5061.0,5127.57185572086,66.57185572086019,0.013153893641742775,224,-39.697728835206135,-39.36000897811712
strict_recursive_7day,2022-03-01,2022-03-28,category,ridge_no_history,无销量历史Ridge,不使用 lag/rolling，仅使用日历、外部变量和门店/商品/类别,9.267488517883558,16.598365931348045,0.4101792981635876,41.01792981635876,5061.0,3605.4063088686144,-1455.5936911313856,-0.287609897477057,224,-35.665930716208806,-35.32821085911979
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_full_external,完整综合Ridge,历史滞后 + 日历 + 节假日/活动日 + 天气 + 门店/商品/类别,5.8232614177609845,10.905221441722288,0.38660656715425623,38.660656715425624,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,336,-38.02320381714194,-37.68548396005293
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_no_weather,去天气Ridge,去除天气、温度、风力，保留历史、日历、节假日/活动日和门店/商品/类别,5.872754692816754,10.820546302324134,0.3898924277388716,38.98924277388716,5061.0,5186.9449431788,125.9449431787998,0.024885386915392178,336,-37.6946177586804,-37.35689790159139
strict_recursive_7day,2022-03-01,2022-03-28,product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,仅使用该门店-商品自身历史销量，不使用外部变量,5.883369771367517,11.257313988452804,0.3905971632443164,39.05971632443164,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,336,-37.624144208135924,-37.28642435104691
