factor,mean_when_0,mean_when_1,mean_diff_1_minus_0,relative_diff_pct
节假日,128.45291479820628,140.36666666666667,11.913751868460395,9.274800721475538
周末,124.65834932821497,141.39423076923077,16.735881441015806,13.425399526951567
活动日,124.11914893617022,285.5416666666667,161.42251773049645,130.05448322362406
