product_id,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
11000405-百事可乐330m...,1.0,0.041811668524899745,0.013166105013194002,0.040517341366895214,-0.021117348264556895,-0.0290502766434674,-0.025929520377063548,-0.018220613347789592,-0.006857283133583242,0.5179684440032888,0.252318666868236
11001020-韩国海牌海苔 /...,0.041811668524899745,1.0,0.09206076714445419,0.3835737270052546,0.25737242533522264,0.13906910559934144,0.2009643869554558,-0.03177078856224351,0.17365389147296997,0.1098642692069695,0.16730510314472338
11002170-三养辣火鸡味拌面,0.013166105013194002,0.09206076714445419,1.0,0.21250127698349577,0.13316307246938622,0.052600723623068536,0.10630466775705284,0.07676575279059354,0.06366723159134184,0.007312357124979045,0.09884057817238372
11002561-乡吧哥蜜汁鸡翅,0.040517341366895214,0.3835737270052546,0.21250127698349577,1.0,0.4232489960546353,0.06590207676247686,0.23924007426484478,0.02262204591374857,0.15387429195700358,0.14711982398489343,0.1776910714281396
11002605-老板仔香脆海苔卷...,-0.021117348264556895,0.25737242533522264,0.13316307246938622,0.4232489960546353,1.0,0.17440297281753417,0.23680853972101332,-0.04164747529921987,0.15073841340311153,0.05744972093556329,0.1781977487005922
11005780-大丰古法瓜子,-0.0290502766434674,0.13906910559934144,0.052600723623068536,0.06590207676247686,0.17440297281753417,1.0,0.05381239521054967,-0.045782089872935514,-0.012706868359912478,0.019180310914699107,-0.0069531147581706415
11008516-李子柒螺蛳粉33...,-0.025929520377063548,0.2009643869554558,0.10630466775705284,0.23924007426484478,0.23680853972101332,0.05381239521054967,1.0,-0.04044172369273035,0.06441858666054859,0.052330198568444834,0.14615008823921183
11008644-洽洽早餐每日坚果...,-0.018220613347789592,-0.03177078856224351,0.07676575279059354,0.02262204591374857,-0.04164747529921987,-0.045782089872935514,-0.04044172369273035,1.0,-0.006527590744472079,-0.0038064678879716446,0.05140870995684139
12000134-百事可乐600m...,-0.006857283133583242,0.17365389147296997,0.06366723159134184,0.15387429195700358,0.15073841340311153,-0.012706868359912478,0.06441858666054859,-0.006527590744472079,1.0,0.0671920939646309,0.08134788240993455
12000292-红牛,0.5179684440032888,0.1098642692069695,0.007312357124979045,0.14711982398489343,0.05744972093556329,0.019180310914699107,0.052330198568444834,-0.0038064678879716446,0.0671920939646309,1.0,0.22040944623831257
12001131-旺仔牛奶,0.252318666868236,0.16730510314472338,0.09884057817238372,0.1776910714281396,0.1781977487005922,-0.0069531147581706415,0.14615008823921183,0.05140870995684139,0.08134788240993455,0.22040944623831257,1.0
