product_id,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
11000405-百事可乐330m...,1.0,0.23535884061863188,0.1454889469364178,0.0821829178278525,0.06790975792283144,0.06196837275828113,0.12315832305096758,0.08263854607814348,0.15477875569368002,0.13717293821986665,0.1230815605882368
11001020-韩国海牌海苔 /...,0.23535884061863188,1.0,0.11403011517308316,0.11268059805679356,0.12286537380548848,0.16285143600794158,0.1676951264671115,0.04597766317941528,0.08387857719256148,0.10120070805177805,0.07985068967120529
11002170-三养辣火鸡味拌面,0.1454889469364178,0.11403011517308316,1.0,0.10376052906552279,0.03165166493064444,-0.009912506393399136,0.155193763912164,0.14610164093167924,0.035125284651789546,0.08453770772462507,-0.04888745301973439
11002561-乡吧哥蜜汁鸡翅,0.0821829178278525,0.11268059805679356,0.10376052906552279,1.0,0.1339833675103188,-0.025379069132037257,0.19450509125742418,0.1144249756393892,0.11496361415130753,0.10116188151581017,0.0015058475348235392
11002605-老板仔香脆海苔卷...,0.06790975792283144,0.12286537380548848,0.03165166493064444,0.1339833675103188,1.0,0.013821390298704562,0.15473759000470186,0.1050319120410669,0.13519316901097655,0.1442871704932841,0.057229611031109004
11004973-特仑苏纯牛奶,0.06196837275828113,0.16285143600794158,-0.009912506393399136,-0.025379069132037257,0.013821390298704562,1.0,0.07859721109031975,-0.10738844799164525,0.022632755562674557,0.061335652617067755,0.018080869019243023
11005780-大丰古法瓜子,0.12315832305096758,0.1676951264671115,0.155193763912164,0.19450509125742418,0.15473759000470186,0.07859721109031975,1.0,0.047719036869688695,0.11293733964937724,0.12746377839222278,0.03054954263931194
11008516-李子柒螺蛳粉33...,0.08263854607814348,0.04597766317941528,0.14610164093167924,0.1144249756393892,0.1050319120410669,-0.10738844799164525,0.047719036869688695,1.0,0.028437957358942084,0.008901294390761564,-0.003836753043267052
12000134-百事可乐600m...,0.15477875569368002,0.08387857719256148,0.035125284651789546,0.11496361415130753,0.13519316901097655,0.022632755562674557,0.11293733964937724,0.028437957358942084,1.0,0.18077538142737423,0.04876581507884743
12000292-红牛,0.13717293821986665,0.10120070805177805,0.08453770772462507,0.10116188151581017,0.1442871704932841,0.061335652617067755,0.12746377839222278,0.008901294390761564,0.18077538142737423,1.0,0.07379387366075504
12001131-旺仔牛奶,0.1230815605882368,0.07985068967120529,-0.04888745301973439,0.0015058475348235392,0.057229611031109004,0.018080869019243023,0.03054954263931194,-0.003836753043267052,0.04876581507884743,0.07379387366075504,1.0
