store_id,store_name,product_id,category,product_name,total_sales,avg_daily_sales,active_days,total_amount,negative_adjustment_qty
23,C地姜山店,11002170,速食类,三养辣火鸡味拌面,332.0,0.4547945205479452,239,9200.89,0
47,C地桑田路店,11008516,速食类,李子柒螺蛳粉335g,308.0,0.42191780821917807,177,4150.95,1
14,C地彩虹南路店,11002605,包装海苔,老板仔香脆海苔卷（原味）,303.0,0.41506849315068495,180,4030.13,0
69,B地江山店店,11002170,速食类,三养辣火鸡味拌面,284.0,0.38904109589041097,200,7668.64,0
276,A地双桥路店,11002561,包装散称,乡吧哥蜜汁鸡翅,251.0,0.34383561643835614,72,1189.6,0
14,C地彩虹南路店,11008516,速食类,李子柒螺蛳粉335g,228.0,0.31232876712328766,119,3258.31,0
18,A地天九街店,11002170,速食类,三养辣火鸡味拌面,214.0,0.29315068493150687,114,5572.18,0
178,C地五乡镇店,11002605,包装海苔,老板仔香脆海苔卷（原味）,177.0,0.24246575342465754,82,2054.72,1
276,A地双桥路店,12000292,功能饮料,红牛,158.0,0.21643835616438356,61,863.52,0
47,C地桑田路店,11002170,速食类,三养辣火鸡味拌面,154.0,0.21095890410958903,126,4057.38,0
276,A地双桥路店,12000134,碳酸饮料,百事可乐600ml,135.0,0.18493150684931506,88,371.34,0
178,C地五乡镇店,11004973,乳类饮品,特仑苏纯牛奶,134.0,0.18356164383561643,102,6891.62,0
14,C地彩虹南路店,11002170,速食类,三养辣火鸡味拌面,115.0,0.15753424657534246,102,3218.43,0
18,A地天九街店,11008516,速食类,李子柒螺蛳粉335g,108.0,0.14794520547945206,72,1465.28,0
23,C地姜山店,11004973,乳类饮品,特仑苏纯牛奶,69.0,0.09452054794520548,49,3778.51,1
276,A地双桥路店,12001131,乳类饮品,旺仔牛奶,51.0,0.06986301369863014,23,254.94,0
276,A地双桥路店,11000405,碳酸饮料,百事可乐330ml,45.0,0.06164383561643835,28,111.74,0
276,A地双桥路店,11001020,包装海苔,韩国海牌海苔,44.0,0.06027397260273973,32,422.55,0
276,A地双桥路店,11005780,包装坚果,大丰古法瓜子,42.0,0.057534246575342465,37,410.46000000000004,0
276,A地双桥路店,11002605,包装海苔,老板仔香脆海苔卷（原味）,36.0,0.049315068493150684,31,496.52,0
47,C地桑田路店,11008644,包装冲饮,洽洽早餐每日坚果（燕麦片）,23.0,0.031506849315068496,7,114.55,0
69,B地江山店店,11008644,包装冲饮,洽洽早餐每日坚果（燕麦片）,21.0,0.028767123287671233,5,104.47,0
276,A地双桥路店,11002170,速食类,三养辣火鸡味拌面,19.0,0.026027397260273973,19,531.95,0
14,C地彩虹南路店,11008644,包装冲饮,洽洽早餐每日坚果（燕麦片）,13.0,0.01780821917808219,13,283.09,1
276,A地双桥路店,11008516,速食类,李子柒螺蛳粉335g,8.0,0.010958904109589041,5,103.45,0
18,A地天九街店,11002605,包装海苔,老板仔香脆海苔卷（原味）,7.0,0.009589041095890411,7,105.0,0
