product_id,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
11000405-百事可乐330m...,1.0,-0.007990172322225514,0.012624963223572979,0.0073540970327357616,-0.009547534687708668,-0.03051393346236379,-0.0025147574251228096,-0.023576376956691437,-0.0032504705934461153,0.16243009097156255,0.02266009326430674,0.017023864262324693
11001020-韩国海牌海苔 /...,-0.007990172322225514,1.0,0.13367601491532383,0.22998727693878132,0.2338062451794919,-0.04428047083155934,0.22808286981288914,-0.05476813409727747,-0.049702646938049655,0.17130073989461675,-0.010999269701780277,0.03124073710207743
11002170-三养辣火鸡味拌面,0.012624963223572979,0.13367601491532383,1.0,0.1677471486303128,0.05497010432219809,0.009735446377848518,0.10864941022086566,0.02576992106925115,-0.02440157416805731,0.04300741785602776,-0.026127158638807057,0.02762299540616997
11002561-乡吧哥蜜汁鸡翅,0.0073540970327357616,0.22998727693878132,0.1677471486303128,1.0,0.26100792282113,-0.017327089070366005,0.24001032960935187,-0.09247281015827977,-0.04634889612764367,0.14048712989708428,0.07251463619578218,-0.010992704451799423
11002605-老板仔香脆海苔卷...,-0.009547534687708668,0.2338062451794919,0.05497010432219809,0.26100792282113,1.0,0.0352722502131206,0.2607105298611388,0.07580191940527707,-0.013716764172009238,0.05897008669177107,0.02323744098114071,0.021584216105174126
11004973-特仑苏纯牛奶,-0.03051393346236379,-0.04428047083155934,0.009735446377848518,-0.017327089070366005,0.0352722502131206,1.0,-0.03187708598940169,0.09508937442648067,-0.021242425250059278,-0.004410332164713913,-0.016223789678263007,0.08706974836765594
11005780-大丰古法瓜子,-0.0025147574251228096,0.22808286981288914,0.10864941022086566,0.24001032960935187,0.2607105298611388,-0.03187708598940169,1.0,-0.03512557931006199,-0.04042796190839288,0.1395756805257587,0.03845518267804765,-0.01353942612691809
11008516-李子柒螺蛳粉33...,-0.023576376956691437,-0.05476813409727747,0.02576992106925115,-0.09247281015827977,0.07580191940527707,0.09508937442648067,-0.03512557931006199,1.0,-0.0006377636563570013,-0.07451220623805245,-0.061267640970017884,0.041328310852370535
11008644-洽洽早餐每日坚果...,-0.0032504705934461153,-0.049702646938049655,-0.02440157416805731,-0.04634889612764367,-0.013716764172009238,-0.021242425250059278,-0.04042796190839288,-0.0006377636563570013,1.0,0.03666599893805831,0.031672633064103436,0.07396714317011797
12000134-百事可乐600m...,0.16243009097156255,0.17130073989461675,0.04300741785602776,0.14048712989708428,0.05897008669177107,-0.004410332164713913,0.1395756805257587,-0.07451220623805245,0.03666599893805831,1.0,0.1569775913979367,0.06000877774858895
12000292-红牛,0.02266009326430674,-0.010999269701780277,-0.026127158638807057,0.07251463619578218,0.02323744098114071,-0.016223789678263007,0.03845518267804765,-0.061267640970017884,0.031672633064103436,0.1569775913979367,1.0,-0.010254396241679934
12001131-旺仔牛奶,0.017023864262324693,0.03124073710207743,0.02762299540616997,-0.010992704451799423,0.021584216105174126,0.08706974836765594,-0.01353942612691809,0.041328310852370535,0.07396714317011797,0.06000877774858895,-0.010254396241679934,1.0
