level,product_id,product_name,category,point_forecast_7day_sales,residual_q10,residual_median,residual_q90,residual_mean,mean_abs_residual,residual_std,residual_count,validation_actual_7day_mean,validation_prediction_7day_mean,interval_method,lower_80pct_empirical,median_residual_adjusted_forecast,upper_80pct_empirical
product,11002561,乡吧哥蜜汁鸡翅,包装散称,439.96489660748574,-4.295723379392985,50.44085737211513,134.78489782248215,61.01495012170759,72.25132068746424,78.41390908234469,4,332.75,271.73504987829244,严格递推验证7日残差经验10%-90%分位数,435.66917322809275,490.4057539796009,574.7497944299679
product,12000292,红牛,功能饮料,364.48142427339985,-54.34889634656459,-47.10930989577983,10.396718202023045,-29.15700930755908,46.56544773369076,42.917229233229655,4,363.75,392.90700930755906,严格递推验证7日残差经验10%-90%分位数,310.1325279268353,317.37211437762005,374.8781424754229
product,11000405,百事可乐330ml,碳酸饮料,125.37895219198526,-52.26585579970163,-1.6542266038504394,44.379663323794546,-3.289133485352661,41.0905092712364,51.8717893700039,4,120.25,123.53913348535266,严格递推验证7日残差经验10%-90%分位数,73.11309639228364,123.72472558813482,169.7586155157798
product,12000134,百事可乐600ml,碳酸饮料,115.2098064789617,-56.03122130782602,17.416524594984622,33.656288169775145,-3.0148976650225663,38.40530430554838,54.657725288094824,4,166.25,169.26489766502257,严格递推验证7日残差经验10%-90%分位数,59.17858517113567,132.62633107394632,148.86609464873683
product,12001131,旺仔牛奶,乳类饮品,84.89677914667267,-12.578394160699109,-7.947253197859958,10.621993012519447,-2.9693584665955832,11.437325802042107,13.834895066550635,4,79.75,82.71935846659558,严格递推验证7日残差经验10%-90%分位数,72.31838498597357,76.94952594881272,95.51877215919211
product,11008516,李子柒螺蛳粉335g,速食类,52.74314010287839,3.9080671251371975,10.373998383848825,17.35473140931183,10.557856157688603,10.557856157688603,7.383315430640306,4,51.0,40.442143842311395,严格递推验证7日残差经验10%-90%分位数,52.74314010287839,63.117138486727214,70.09787151219022
product,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,47.56347770427161,-15.671194085272942,3.6319764323114825,12.705897716392473,-0.02132686536831585,12.158959569650065,15.787423350016908,4,48.25,48.271326865368316,严格递推验证7日残差经验10%-90%分位数,31.89228361899867,51.195454136583095,60.26937542066408
product,11005780,大丰古法瓜子,包装坚果,46.958935215310504,-7.091598348152469,-2.6752834457831725,4.075043582365554,-1.8417076865762336,5.2105823215621445,6.4123378218119305,4,43.5,45.341707686576235,严格递推验证7日残差经验10%-90%分位数,39.86733686715804,44.28365176952733,51.033978797676056
product,11002170,三养辣火鸡味拌面,速食类,31.246813634382665,-6.9803742272810885,-2.4136738071033914,3.4539606130953064,-1.9490545213816057,4.809460055056543,5.702126527210742,4,29.0,30.949054521381605,严格递推验证7日残差经验10%-90%分位数,24.266439407101576,28.833139827279275,34.70077424747797
product,11002605,老板仔香脆海苔卷（原味）,包装海苔,17.61257623505597,0.22925219437797367,1.7170852621833532,2.5020356600381155,1.46605573720099,1.5496822409623983,1.252546022106818,4,24.0,22.53394426279901,严格递推验证7日残差经验10%-90%分位数,17.61257623505597,19.32966149723932,20.114611895094082
product,11004973,特仑苏纯牛奶,乳类饮品,3.837197383876378,-5.1850593623370305,-1.8314874472201152,5.319005718500497,-0.4754441434330814,4.626519321897437,6.26062625028667,4,6.75,7.225444143433082,严格递推验证7日残差经验10%-90%分位数,0.0,2.0057099366562627,9.156203102376875
product,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,0.0,-8.325281026989291e-80,-4.6664751307078116e-82,-2.2100191086564357e-84,-2.9867263678377928e-80,2.9867263678377928e-80,5.9113892349499605e-80,4,0.0,2.9867263678377928e-80,严格递推验证7日残差经验10%-90%分位数,0.0,0.0,0.0
