product_id,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
11000405-百事可乐330m...,1.0,0.20009650736261395,0.2746236312130956,0.2337552810432692,0.04277064044299709,0.18848716675949728,0.15738774234929165,0.3710259338070595,0.02406807958508176,0.3972935470897214
11001020-韩国海牌海苔 /...,0.20009650736261395,1.0,0.2592223026139725,0.4911388805567127,0.08217119456911119,0.29533158026866624,0.21899936259098615,0.43570422146404625,0.08283588360576362,0.4018264082622571
11002170-三养辣火鸡味拌面,0.2746236312130956,0.2592223026139725,1.0,0.417339003847406,0.04596613928263913,0.32927618443497697,0.18259301490556332,0.3342621503149374,0.10286532445572018,0.3203856748426189
11002561-乡吧哥蜜汁鸡翅,0.2337552810432692,0.4911388805567127,0.417339003847406,1.0,0.06042397813272101,0.4435736590864532,0.25815981391087567,0.4840859661337121,0.04585523772195393,0.4881371673918004
11002605-老板仔香脆海苔卷...,0.04277064044299709,0.08217119456911119,0.04596613928263913,0.06042397813272101,1.0,0.09653666166303992,-0.029478505311371223,0.07203853840175116,0.002128380680744036,0.03676999884856129
11005780-大丰古法瓜子,0.18848716675949728,0.29533158026866624,0.32927618443497697,0.4435736590864532,0.09653666166303992,1.0,0.1925893970428386,0.3006370199715834,0.04716831888939179,0.34501369462640386
11008516-李子柒螺蛳粉33...,0.15738774234929165,0.21899936259098615,0.18259301490556332,0.25815981391087567,-0.029478505311371223,0.1925893970428386,1.0,0.2948716835737639,0.023543688798897715,0.2849587041880009
12000134-百事可乐600m...,0.3710259338070595,0.43570422146404625,0.3342621503149374,0.4840859661337121,0.07203853840175116,0.3006370199715834,0.2948716835737639,1.0,0.08493284932715586,0.4168599471636008
12000292-红牛,0.02406807958508176,0.08283588360576362,0.10286532445572018,0.04585523772195393,0.002128380680744036,0.04716831888939179,0.023543688798897715,0.08493284932715586,1.0,0.11989839922930677
12001131-旺仔牛奶,0.3972935470897214,0.4018264082622571,0.3203856748426189,0.4881371673918004,0.03676999884856129,0.34501369462640386,0.2849587041880009,0.4168599471636008,0.11989839922930677,1.0
