demand_class,is_low_volume,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias,bias_pct_of_actual,n
intermittent,0,2.070477751882383,3.3878785530586426,0.7803483170302644,78.03483170302644,1783.0,1851.808007134021,1391.3610492649614,68.80800713402095,0.038591142531699915,672
low_volume_intermittent,1,1.15694471766461,2.358113034928097,1.0006906897041596,100.06906897041597,348.0,328.19665850219803,348.2403600170476,-19.803341497801966,-0.056906153729316,301
no_positive_history,1,0.047619047619047616,0.21821789023599236,1.0,100.0,1.0,0.0,1.0,-1.0,-1.0,21
regular,0,2.1519729452148786,4.175757322708345,0.664579880139889,66.4579880139889,1088.0,1115.223040535595,723.0629095921993,27.22304053559492,0.025021176962862976,336
very_sparse,1,0.44464370353355304,1.231817171983177,1.8574632131482296,185.74632131482295,124.0,154.88395347868416,230.32543843038047,30.883953478684163,0.24906414095713034,518
volatile,0,4.088968047213705,6.915381537681335,0.6668090001280358,66.68090001280358,1717.0,1489.6046208482696,1144.9110532198374,-227.39537915173037,-0.13243761162011086,280
