product_id,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
11000405-百事可乐330m...,1.0,0.13625235452856221,0.2423491358031486,0.2254628559206701,0.10085449084172406,0.18391329069128456,0.1834575302115851,-0.01994167603536939,0.3241045111717089,0.16043704101957357,0.17125817750852182
11001020-韩国海牌海苔 /...,0.13625235452856221,1.0,0.09918221401381061,0.10957428080861542,0.3193316476854827,0.3435371317721513,-0.06516742837406886,-0.014874211184489556,0.20863678042784958,0.17073885705733666,0.1130859524147235
11002170-三养辣火鸡味拌面,0.2423491358031486,0.09918221401381061,1.0,0.3437053985464533,-0.001525004891845023,0.11844288374462758,0.25528810129261253,-0.009086722601832718,0.25777499131813586,0.07080544623918728,0.1076814235034432
11002561-乡吧哥蜜汁鸡翅,0.2254628559206701,0.10957428080861542,0.3437053985464533,1.0,0.13122460657555093,0.1856860423216141,0.27664396399011676,-0.00578489451604814,0.25398370363994327,0.1824634451278918,0.08106385256430905
11002605-老板仔香脆海苔卷...,0.10085449084172406,0.3193316476854827,-0.001525004891845023,0.13122460657555093,1.0,0.25902007833270174,-0.07728499406731962,-0.02814183140539557,0.2223121425438965,0.17484620915100865,0.04330177284578148
11005780-大丰古法瓜子,0.18391329069128456,0.3435371317721513,0.11844288374462758,0.1856860423216141,0.25902007833270174,1.0,0.06927264622326501,0.011294263590915968,0.09791485138960981,0.1346734746032735,0.0939209794883651
11008516-李子柒螺蛳粉33...,0.1834575302115851,-0.06516742837406886,0.25528810129261253,0.27664396399011676,-0.07728499406731962,0.06927264622326501,1.0,0.0025204891221168235,0.19032622862737228,0.05114054741394699,0.033397248915306016
11008644-洽洽早餐每日坚果...,-0.01994167603536939,-0.014874211184489556,-0.009086722601832718,-0.00578489451604814,-0.02814183140539557,0.011294263590915968,0.0025204891221168235,1.0,0.0054645742337195305,0.016246960322894542,-0.024408779865577115
12000134-百事可乐600m...,0.3241045111717089,0.20863678042784958,0.25777499131813586,0.25398370363994327,0.2223121425438965,0.09791485138960981,0.19032622862737228,0.0054645742337195305,1.0,0.22629946157340236,0.08992952871773897
12000292-红牛,0.16043704101957357,0.17073885705733666,0.07080544623918728,0.1824634451278918,0.17484620915100865,0.1346734746032735,0.05114054741394699,0.016246960322894542,0.22629946157340236,1.0,0.12272177725409426
12001131-旺仔牛奶,0.17125817750852182,0.1130859524147235,0.1076814235034432,0.08106385256430905,0.04330177284578148,0.0939209794883651,0.033397248915306016,-0.024408779865577115,0.08992952871773897,0.12272177725409426,1.0
