model,description,nobs,r_squared,adj_r_squared,weather_reference,note
controlled_product_fixed_effect,天气、温度、风力、节假日、活动日 + 星期、月份、门店、商品控制变量,59049,0.025615031102843022,0.024772723300518384,晴,主要解释模型；标准误按日期聚类
weekend_effect_model,估计周末变量；不再加入星期固定效应，避免完全共线,59049,0.02555929107060506,0.024799583389327307,晴,用于周末/工作日关联估计
category_control_model,用商品类别替代商品固定效应的补充模型,59049,0.025245519052883747,0.024469032881386354,晴,产品固定效应会吸收类别差异，因此单独给出类别控制模型
