method,method_label,model,model_label,category,MAE,RMSE,WAPE,actual_sum,prediction_sum,n,WAPE_pct
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,乳类饮品,5.368899842780306,6.696570689174547,0.41923399276118256,397.0,409.433675962951,31,41.92339927611825
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,乳类饮品,5.368899842780306,6.696570689174547,0.41923399276118256,397.0,409.43367596295093,31,41.92339927611825
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),乳类饮品,6.202764976958525,7.475128829686359,0.4843468873695574,397.0,396.1428571428571,31,48.43468873695574
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),乳类饮品,6.202764976958526,7.47512882968636,0.48434688736955744,397.0,396.1428571428571,31,48.43468873695574
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),乳类饮品,7.782258064516129,8.91045281424231,0.6076826196473551,397.0,545.0,31,60.768261964735515
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),乳类饮品,7.782258064516129,8.91045281424231,0.6076826196473551,397.0,545.0,31,60.768261964735515
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,功能饮料,13.418738168456422,17.924096437444504,0.26614259963029374,1563.0,1549.707448271406,31,26.614259963029376
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,功能饮料,13.418738168456422,17.924096437444504,0.26614259963029374,1563.0,1549.707448271406,31,26.614259963029376
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),功能饮料,13.437788018433178,18.228778006139176,0.2665204277488346,1563.0,1574.714285714286,31,26.652042774883462
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),功能饮料,13.437788018433178,18.228778006139176,0.2665204277488346,1563.0,1574.714285714286,31,26.652042774883462
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),功能饮料,17.463709677419356,22.195917871565715,0.34636916186820216,1563.0,1939.625,31,34.636916186820216
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),功能饮料,17.463709677419356,22.195917871565715,0.34636916186820216,1563.0,1939.625,31,34.636916186820216
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,包装冲饮,3.225806483870777e-266,0.0,,0.0,1.0000000099999408e-264,31,
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),包装冲饮,0.0,0.0,,0.0,0.0,31,
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),包装冲饮,0.0,0.0,,0.0,0.0,31,
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,包装冲饮,3.225806483870777e-266,0.0,,0.0,1.0000000099999408e-264,31,
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),包装冲饮,0.0,0.0,,0.0,0.0,31,
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),包装冲饮,0.0,0.0,,0.0,0.0,31,
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,包装坚果,3.1881028872606914,3.804976987074102,0.4966391432416152,199.0,204.36037490718496,31,49.66391432416152
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,包装坚果,3.1881028872606914,3.804976987074102,0.4966391432416152,199.0,204.36037490718496,31,49.66391432416152
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),包装坚果,3.2764976958525347,4.058735975914872,0.5104091888011486,199.0,201.7142857142857,31,51.04091888011486
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),包装坚果,3.2764976958525347,4.058735975914872,0.5104091888011486,199.0,201.7142857142857,31,51.04091888011486
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),包装坚果,4.0,4.842270195389895,0.6231155778894473,199.0,264.75,31,62.311557788944725
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),包装坚果,4.0,4.842270195389895,0.6231155778894473,199.0,264.75,31,62.311557788944725
