calendar_type,definition,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias_sum,n,date_count
工作日,非周末且非节假日,29.176908500067537,41.36380151816564,0.17502644571126297,17.502644571126297,3334.0,3454.8338837474957,583.5381700013507,120.83388374749634,20,20
周末,is_weekend = 1,37.009987179269814,41.69508258504139,0.17144174721144095,17.144174721144097,1727.0,1563.5395207675892,296.0798974341585,-163.4604792324109,8,8
节假日,is_holiday = 1,,,,,0.0,0.0,0.0,0.0,0,0
活动日,is_activity_day = 1,86.1659078887862,86.1659078887862,0.22439038512704737,22.439038512704737,384.0,297.8340921112138,86.1659078887862,-86.1659078887862,1,1
