level,store_id,store_name,point_forecast_7day_sales,residual_q10,residual_median,residual_q90,residual_mean,mean_abs_residual,residual_std,residual_count,validation_actual_7day_mean,validation_prediction_7day_mean,interval_method,lower_80pct_empirical,median_residual_adjusted_forecast,upper_80pct_empirical
store,69,B地江山店店,320.34161743679596,-34.97817903002989,10.757646394846532,97.10619804994721,25.26219147706947,50.26218950746584,75.65687306334,4,319.75,294.48780852293055,严格递推验证7日残差经验10%-90%分位数,285.3634384067661,331.0992638316425,417.44781548674314
store,178,C地五乡镇店,301.76309504274644,-1.5926101375255417,38.01975533042392,62.229801999155335,32.518927187846046,36.87183429981347,35.2741768410001,4,315.0,282.48107281215397,严格递推验证7日残差经验10%-90%分位数,300.1704849052209,339.7828503731704,363.99289704190176
store,18,A地天九街店,227.84578358366184,-74.04519364557268,-12.574238111024385,62.97634708599571,-7.545798945855893,53.33066984057862,75.80384441265511,4,234.25,241.7957989458559,严格递推验证7日残差经验10%-90%分位数,153.80058993808916,215.27154547263746,290.82213066965755
store,23,C地姜山店,185.64227728417717,-12.242058559465677,-1.6449712765451352,53.640279951997854,14.315087275462876,25.74997154101558,40.677475862734426,4,115.5,101.18491272453713,严格递推验证7日残差经验10%-90%分位数,173.4002187247115,183.99730600763203,239.28255723617502
store,47,C地桑田路店,141.85719367709615,-49.78097994264914,-15.747572129176838,17.100783228302134,-16.17080514917446,31.21588301543679,38.1769816843853,4,125.0,141.17080514917447,严格递推验证7日残差经验10%-90%分位数,92.07621373444701,126.10962154791932,158.95797690539828
store,14,C地彩虹南路店,135.5673253716163,-36.84027526666671,-15.730123175547128,21.582125112482338,-9.943660248079315,28.09248859027443,33.78775066329691,4,135.25,145.1936602480793,严格递推验证7日残差经验10%-90%分位数,98.7270501049496,119.83720219606917,157.14945048409865
store,276,A地双桥路店,16.87670657818684,-26.703824622742836,0.48970858233504977,3.590024935384955,-8.11501172196066,11.541842740532577,19.612383792414608,4,20.5,28.61501172196066,严格递推验证7日残差经验10%-90%分位数,0.0,17.36641516052189,20.466731513571794
