level,model,model_label,MAE,RMSE,WAPE,actual_sum,prediction_sum,n,WAPE_pct
category,random_forest,综合随机森林,7.014403599169901,11.160795399996287,0.3099147392858572,5432.0,5408.476310441794,240,30.991473928585723
category,ridge,综合Ridge回归,7.558407101443086,13.441218129412666,0.3339502401226695,5432.0,4956.5360229861235,240,33.39502401226695
category,baseline_rolling_mean_14,Baseline滚动均值(14日),8.23095238095238,14.539124439105072,0.36366505365032603,5432.0,5186.285714285714,240,36.3665053650326
category,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,8.276980648271868,14.422792350230289,0.3656987031637055,5432.0,5281.502341182853,240,36.56987031637055
category,baseline_moving_average_7,Baseline移动平均(7日),8.35,14.335431344634689,0.36892488954344627,5432.0,5305.142857142857,240,36.89248895434463
