horizon,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias,bias_pct_of_actual,n
1,1.85976284920625,4.149159991874791,0.7276292228554697,72.76292228554698,777.0,715.2095465378111,565.3679061587,-61.79045346218891,-0.07952439313023026,304
2,1.6809437052249627,4.094431654543055,0.7321015564303563,73.21015564303563,698.0,631.3147289609471,511.0068863883887,-66.68527103905285,-0.09553763759176626,304
3,1.455106323720441,2.777784927190971,0.7693083868017635,76.93083868017635,575.0,650.2074738328486,442.35232241101403,75.20747383284856,0.1307956066658236,304
4,1.7888171271594346,3.3869176056176866,0.785838737942873,78.5838737942873,692.0,688.3292081182221,543.8004066564681,-3.670791881777859,-0.005304612545921762,304
5,1.902636478808541,4.132245119762739,0.667129745741403,66.7129745741403,867.0,741.6306551613601,578.4014895577965,-125.3693448386399,-0.14460132045979227,304
6,2.0425071043503835,3.7896118367961384,0.722002511305252,72.20025113052519,860.0,771.1522384566506,620.9221597225167,-88.8477615433494,-0.10331135063180164,304
7,1.8981896040445474,3.49028542508886,0.9747460128877405,97.47460128877405,592.0,741.8724294309279,577.0496396295424,149.87242943092792,0.2531628875522431,304
