category,predicted_7day_sales
包装散称,439.96489660748574
功能饮料,364.48142427339985
碳酸饮料,240.58875867094696
乳类饮品,88.73397653054904
速食类,83.98995373726106
包装海苔,65.17605393932757
包装坚果,46.958935215310504
包装冲饮,0.0
