window_start,store_id,store_name,product_id,product_name,category,history_days,history_total_sales,history_average_sales,history_zero_sales_ratio,history_nonzero_sales_ratio,recent28_mean,product_history_mean,category_history_mean,hierarchy_shrink_target,demand_class,is_low_volume
2022-03-01,14,C地彩虹南路店,11000405,百事可乐330ml,碳酸饮料,699,1168.0,1.6709585121602288,0.4334763948497854,0.5665236051502146,0.75,1.72838749233599,2.0499693439607602,1.303510116492949,volatile,0
2022-03-01,14,C地彩虹南路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,699,692.0,0.9899856938483548,0.5593705293276109,0.4406294706723891,0.9642857142857143,1.0326997751890457,0.7338033926016758,0.938713468219906,intermittent,0
2022-03-01,14,C地彩虹南路店,11002170,三养辣火鸡味拌面,速食类,699,111.0,0.15879828326180256,0.8597997138769671,0.1402002861230329,0.21428571428571427,0.31800531371346824,0.39362354383813614,0.28126916002452484,very_sparse,1
2022-03-01,14,C地彩虹南路店,11002561,乡吧哥蜜汁鸡翅,包装散称,699,2251.0,3.2203147353361947,0.43776824034334766,0.5622317596566524,1.8214285714285714,3.510116492949111,3.510116492949111,2.665772532188841,volatile,0
2022-03-01,14,C地彩虹南路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,699,303.0,0.4334763948497854,0.7424892703862661,0.2575107296137339,0.32142857142857145,0.43490701001430615,0.7338033926016758,0.43794706723891275,low_volume_intermittent,1
2022-03-01,14,C地彩虹南路店,11004973,特仑苏纯牛奶,乳类饮品,699,486.0,0.6952789699570815,0.5793991416309013,0.4206008583690987,1.0,0.3223652837386743,1.0263233190271817,0.8019742489270387,intermittent,0
2022-03-01,14,C地彩虹南路店,11005780,大丰古法瓜子,包装坚果,699,708.0,1.0128755364806867,0.4864091559370529,0.5135908440629471,0.6428571428571429,0.7907214387901084,0.7907214387901084,0.7167892908236256,regular,0
2022-03-01,14,C地彩虹南路店,11008516,李子柒螺蛳粉335g,速食类,699,202.0,0.28898426323319026,0.8397711015736766,0.16022889842632332,0.4642857142857143,0.46924177396280403,0.39362354383813614,0.45164009809932554,low_volume_intermittent,1
2022-03-01,14,C地彩虹南路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,699,13.0,0.01859799713876967,0.9828326180257511,0.017167381974248927,0.0,0.027181688125894134,0.027181688125894134,0.013590844062947069,very_sparse,1
2022-03-01,14,C地彩虹南路店,12000134,百事可乐600ml,碳酸饮料,699,1767.0,2.5278969957081543,0.1988555078683834,0.8011444921316166,1.6428571428571428,2.37155119558553,2.0499693439607602,1.9428877988963826,regular,0
