level,level_label,validation_mode,validation_start,model,alpha,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,n
store,门店,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.1,9.482179149353101,15.223476398543399,0.36704118362640437,36.704118362640436,5606.0,5327.462030016185,217
store,门店,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.3,10.095929185437637,15.856978563305626,0.3907985432108397,39.07985432108397,5606.0,5493.172278892431,217
store,门店,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.5,10.875995878661811,16.84389787509385,0.42099377553863954,42.09937755386395,5606.0,5524.606124478212,217
product,商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.1,5.747975085000516,10.958732130778728,0.38142110803071566,38.14211080307157,5606.0,5327.462030016184,372
product,商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.3,6.011489338074403,11.120304153565517,0.3989072482632319,39.890724826323186,5606.0,5493.172278892431,372
product,商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.5,6.36158542650444,11.679604985436956,0.4221387403959421,42.21387403959421,5606.0,5524.606124478211,372
store_product,门店--商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.1,1.750443772990764,3.635891587225511,0.7356485068081057,73.56485068081057,5606.0,5327.462030016184,2356
store_product,门店--商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.3,1.8202554465424474,3.7612838329573655,0.7649878401808787,76.49878401808787,5606.0,5493.17227889243,2356
store_product,门店--商品,rolling_one_step,2022-03-01,exp_smoothing_fixed_alpha,0.5,1.913916084207185,3.990342156084679,0.8043500346757274,80.43500346757274,5606.0,5524.606124478212,2356
