store_id,store_name,category,model,model_label,predicted_7day_sales
14,C地彩虹南路店,功能饮料,exp_smoothing,简单指数平滑,35.157117081654114
14,C地彩虹南路店,包装散称,exp_smoothing,简单指数平滑,31.59534038699987
14,C地彩虹南路店,碳酸饮料,exp_smoothing,简单指数平滑,27.653056507053503
14,C地彩虹南路店,乳类饮品,exp_smoothing,简单指数平滑,19.991287781204896
14,C地彩虹南路店,速食类,exp_smoothing,简单指数平滑,14.113788862366107
14,C地彩虹南路店,包装坚果,exp_smoothing,简单指数平滑,2.7769138437605214
14,C地彩虹南路店,包装海苔,exp_smoothing,简单指数平滑,0.5071042620722929
14,C地彩虹南路店,包装冲饮,exp_smoothing,简单指数平滑,0.0
18,A地天九街店,功能饮料,exp_smoothing,简单指数平滑,75.6467796144026
18,A地天九街店,碳酸饮料,exp_smoothing,简单指数平滑,59.895515733869544
18,A地天九街店,包装散称,exp_smoothing,简单指数平滑,41.7126310111509
18,A地天九街店,乳类饮品,exp_smoothing,简单指数平滑,16.044878324439523
18,A地天九街店,包装海苔,exp_smoothing,简单指数平滑,12.930276067305153
18,A地天九街店,包装坚果,exp_smoothing,简单指数平滑,11.604030089197119
18,A地天九街店,速食类,exp_smoothing,简单指数平滑,4.9501494602205485
23,C地姜山店,包装散称,exp_smoothing,简单指数平滑,79.51083325057503
23,C地姜山店,速食类,exp_smoothing,简单指数平滑,18.695414635247364
23,C地姜山店,碳酸饮料,exp_smoothing,简单指数平滑,16.214228015599513
23,C地姜山店,包装海苔,exp_smoothing,简单指数平滑,13.138973486429775
23,C地姜山店,功能饮料,exp_smoothing,简单指数平滑,12.83254949562633
23,C地姜山店,包装坚果,exp_smoothing,简单指数平滑,6.36846118847063
23,C地姜山店,乳类饮品,exp_smoothing,简单指数平滑,2.9150521474233275
47,C地桑田路店,包装散称,exp_smoothing,简单指数平滑,44.146433464140074
47,C地桑田路店,包装海苔,exp_smoothing,简单指数平滑,25.797496881444026
47,C地桑田路店,碳酸饮料,exp_smoothing,简单指数平滑,20.162580397081218
47,C地桑田路店,速食类,exp_smoothing,简单指数平滑,9.253616829031206
47,C地桑田路店,包装坚果,exp_smoothing,简单指数平滑,7.9085600475112
47,C地桑田路店,乳类饮品,exp_smoothing,简单指数平滑,7.049180907893
47,C地桑田路店,功能饮料,exp_smoothing,简单指数平滑,5.588376396883214
47,C地桑田路店,包装冲饮,exp_smoothing,简单指数平滑,0.0
69,B地江山店店,包装散称,exp_smoothing,简单指数平滑,167.93528311455853
69,B地江山店店,碳酸饮料,exp_smoothing,简单指数平滑,73.90613154513728
69,B地江山店店,功能饮料,exp_smoothing,简单指数平滑,51.8106257908407
69,B地江山店店,速食类,exp_smoothing,简单指数平滑,18.555021465210018
69,B地江山店店,乳类饮品,exp_smoothing,简单指数平滑,13.941733005829736
69,B地江山店店,包装坚果,exp_smoothing,简单指数平滑,12.824017061705563
69,B地江山店店,包装海苔,exp_smoothing,简单指数平滑,2.975914960030086
69,B地江山店店,包装冲饮,exp_smoothing,简单指数平滑,0.0
178,C地五乡镇店,功能饮料,exp_smoothing,简单指数平滑,97.88246375345668
178,C地五乡镇店,包装散称,exp_smoothing,简单指数平滑,60.1230211267267
178,C地五乡镇店,碳酸饮料,exp_smoothing,简单指数平滑,39.94476849526708
178,C地五乡镇店,乳类饮品,exp_smoothing,简单指数平滑,30.222452697576923
178,C地五乡镇店,速食类,exp_smoothing,简单指数平滑,24.447279362275545
178,C地五乡镇店,包装海苔,exp_smoothing,简单指数平滑,6.270929997972043
178,C地五乡镇店,包装坚果,exp_smoothing,简单指数平滑,6.11163135623212
276,A地双桥路店,功能饮料,exp_smoothing,简单指数平滑,7.055731239041569
276,A地双桥路店,碳酸饮料,exp_smoothing,简单指数平滑,4.912172177509574
276,A地双桥路店,包装散称,exp_smoothing,简单指数平滑,2.2818162858429343
276,A地双桥路店,包装海苔,exp_smoothing,简单指数平滑,2.0321167663979356
276,A地双桥路店,乳类饮品,exp_smoothing,简单指数平滑,0.43638507421680744
276,A地双桥路店,速食类,exp_smoothing,简单指数平滑,6.363000629999992e-06
276,A地双桥路店,包装坚果,exp_smoothing,简单指数平滑,0.0
