diagnosis_unit,product_id,product_name,category,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias_sum,n
product_daily_total,11004973,特仑苏纯牛奶,乳类饮品,1.2007549895457037,1.725479960571003,1.2452273965659149,124.52273965659148,27.0,32.35520648220962,33.6211397072797,5.35520648220962,28
product_daily_total,11002605,老板仔香脆海苔卷（原味）,包装海苔,2.330372005315458,3.0476258845963415,0.6796918348836752,67.96918348836752,96.0,107.4138146644224,65.25041614883283,11.413814664422413,28
product_daily_total,11002170,三养辣火鸡味拌面,速食类,2.395385697870829,3.5023954730974802,0.5781965477619242,57.81965477619242,116.0,121.77846045841665,67.0707995403832,5.778460458416631,28
product_daily_total,11008516,李子柒螺蛳粉335g,速食类,4.150995692555412,6.367867860712282,0.569744506821331,56.9744506821331,204.0,165.0987779874796,116.22787939155154,-38.90122201252043,28
product_daily_total,11000405,百事可乐330ml,碳酸饮料,8.385674605413959,11.430061733993103,0.4881473782777357,48.81473782777357,481.0,514.2996436133227,234.79888895159087,33.29964361332263,28
product_daily_total,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,3.1078497155763785,3.5430145494287597,0.4508797514825834,45.087975148258344,193.0,208.7309772922893,87.0197920361386,15.730977292289328,28
product_daily_total,12001131,旺仔牛奶,乳类饮品,5.0584523258612775,5.971417773149206,0.44400208502857613,44.400208502857616,319.0,328.8890439510727,141.63666512411578,9.889043951072782,28
product_daily_total,11005780,大丰古法瓜子,包装坚果,2.6392986239529708,3.151508529049681,0.4247147210958803,42.471472109588035,174.0,177.38218770513026,73.90036147068318,3.3821877051302627,28
product_daily_total,11002561,乡吧哥蜜汁鸡翅,包装散称,18.06770624643354,26.940214094706512,0.38008698339604746,38.00869833960475,1331.0,1093.535683226938,505.89577490013914,-237.46431677306177,28
product_daily_total,12000134,百事可乐600ml,碳酸饮料,7.494018478674839,10.126809519535957,0.3155376201547301,31.55376201547301,665.0,669.2661414088956,209.8325174028955,4.26614140889556,28
product_daily_total,12000292,红牛,功能饮料,14.656355113913136,18.53799942072518,0.28204669635021845,28.204669635021844,1455.0,1588.6398079166295,410.3779431895678,133.6398079166294,28
product_daily_total,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,0.39227351801831756,1.1092826244143892,,,0.0,10.983658504512892,10.983658504512892,10.983658504512892,28
