method,method_label,model,model_label,MAE,RMSE,WAPE,actual_sum,prediction_sum,n,WAPE_pct
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,7.852726047253847,13.932514522988074,0.34739137704583556,5606.0,5366.760937604124,248,34.739137704583555
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,7.873485186240072,13.948911876999755,0.3483097263980624,5606.0,5368.529618738101,248,34.83097263980624
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),8.245967741935484,14.174448610676944,0.3647877274348912,5606.0,5489.285714285714,248,36.47877274348912
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),8.245967741935484,14.174448610676944,0.36478772743489124,5606.0,5489.285714285714,248,36.478772743489124
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),8.850806451612904,15.057266357519559,0.39154477345701033,5606.0,5982.0,248,39.15447734570103
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),8.850806451612904,15.057266357519559,0.39154477345701033,5606.0,5982.0,248,39.15447734570103
