is_holiday,is_weekend,is_rest_day,n_days,share
0,0,0,476,0.6529492455418381
0,0,1,9,0.012345679012345678
0,1,0,9,0.012345679012345678
0,1,1,175,0.24005486968449932
1,0,0,9,0.012345679012345678
1,0,1,27,0.037037037037037035
1,1,1,24,0.03292181069958848
