level,model,model_label,daily_MAE,daily_RMSE,daily_WAPE,daily_actual_sum,daily_prediction_sum,daily_n,daily_WAPE_pct,recursive_MAE,recursive_RMSE,recursive_WAPE,recursive_actual_sum,recursive_prediction_sum,recursive_n,recursive_WAPE_pct,WAPE_change_pct_points,WAPE_relative_change_pct,recursive_result
store,ridge,综合Ridge回归,8.94851250076273,14.439282847762728,0.34655373446937265,5061.0,4641.865608476488,196,34.65537344693727,9.527055000856873,14.447078843659092,0.36895925314521777,5061.0,5018.373403211319,196,36.895925314521776,2.2405518675845073,6.465236541210969,严格递推误差更高
store,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,10.11954328256597,16.269922058577702,0.39190485741610953,5061.0,4917.650592000413,196,39.190485741610956,9.81017115318249,15.963126120538083,0.37992364078715035,5061.0,4732.861663534108,196,37.992364078715035,-1.1981216628959217,-3.0571748224692157,严格递推误差未升高
store,baseline_moving_average_7,Baseline移动平均(7日),9.836005830903789,15.858104795764616,0.3809241538939227,5061.0,4953.428571428571,196,38.09241538939227,9.978367274578453,15.773037641756574,0.38643746014964964,5061.0,4900.266964809367,196,38.64374601496496,0.5513306255726889,1.4473501350251066,严格递推误差更高
store,baseline_rolling_mean_14,Baseline滚动均值(14日),9.927842565597667,16.01855897295943,0.3844807632596607,5061.0,4845.5714285714275,196,38.44807632596607,10.148811326219006,16.307032049048086,0.39303833628510676,5061.0,4788.147203047154,196,39.303833628510674,0.8557573025446032,2.225748032981999,严格递推误差更高
store,random_forest,综合随机森林,8.998471523486023,13.876786371775228,0.34848852373113226,5061.0,5085.573484582219,196,34.848852373113225,11.076586933377447,17.615276143717214,0.42896878856786796,5061.0,5704.650371416024,196,42.8968788567868,8.048026483673574,23.094093307597202,严格递推误差更高
store_product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,1.798773835245611,3.8183962169442656,0.7563309072125391,5061.0,4917.650592000412,2128,75.63309072125392,1.8157322272490461,3.772464167389725,0.7634614067547856,5061.0,4732.861663534108,2128,76.34614067547855,0.7130499542246298,0.9427751099748012,严格递推误差更高
store_product,ridge,综合Ridge回归,1.7364487612565818,3.6693867702493974,0.7301250669737218,5061.0,4641.865608476488,2128,73.01250669737217,1.8237641830607356,3.7024809356477086,0.7668386053256758,5061.0,5018.373403211319,2128,76.68386053256758,3.6713538351954043,5.02839034196252,严格递推误差更高
store_product,baseline_rolling_mean_14,Baseline滚动均值(14日),1.8024301825993554,3.758060617203756,0.7578682925452338,5061.0,4845.571428571429,2128,75.78682925452338,1.8469090790815068,3.819260102850121,0.7765703458378673,5061.0,4788.147203047154,2128,77.65703458378674,1.8702053292633565,2.4677181347466495,严格递推误差更高
store_product,baseline_moving_average_7,Baseline移动平均(7日),1.8115601503759398,3.7674521012584843,0.7617071724955542,5061.0,4953.428571428572,2128,76.17071724955542,1.8652681056621856,3.7969509585657097,0.7842897705688858,5061.0,4900.266964809366,2128,78.42897705688858,2.258259807333161,2.9647348598996466,严格递推误差更高
store_product,random_forest,综合随机森林,1.7634699947907364,3.5432021164324645,0.7414866921388436,5061.0,5085.573484582219,2128,74.14866921388436,1.98818437658667,4.841926014154908,0.8359724073061516,5061.0,5704.650371416024,2128,83.59724073061517,9.448571516730809,12.742739171051179,严格递推误差更高
