category,total_sales,avg_daily_sales,std_daily_sales,nonzero_days,sales_share,cv
功能饮料,31119,42.62876712328767,105.9866078185669,728,0.32919359786736624,2.486269600808311
碳酸饮料,21312,29.194520547945206,18.473292109820285,730,0.2254498524293618,0.6327657301130258
包装散称,18696,25.610958904109587,25.28806634542793,710,0.19777639081359555,0.9873924065127508
乳类饮品,7571,10.371232876712329,10.792111881463137,704,0.08009012916397795,1.0405813860082012
包装海苔,7499,10.272602739726027,9.174033856189194,717,0.079328474257122,0.8930583697850529
速食类,4209,5.765753424657534,5.841169790438886,621,0.044525076429954194,1.013080053936894
包装坚果,4068,5.572602739726028,4.65675785983663,701,0.04303350223736129,0.8356522216520993
包装冲饮,57,0.07808219178082192,0.8017037029067838,17,0.0006029768012609621,10.267433388104426
