window_start,store_id,store_name,product_id,product_name,category,history_days,history_total_sales,history_average_sales,history_zero_sales_ratio,history_nonzero_sales_ratio,recent28_mean,product_history_mean,category_history_mean,hierarchy_shrink_target,demand_class,is_low_volume
2022-04-01,14,C地彩虹南路店,11000405,百事可乐330ml,碳酸饮料,730,1244.0,1.704109589041096,0.4273972602739726,0.5726027397260274,2.25,1.7604696673189824,2.0853228962818005,2.0702054794520546,volatile,0
2022-04-01,14,C地彩虹南路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,695.0,0.952054794520548,0.5753424657534246,0.4246575342465753,0.10714285714285714,1.030724070450098,0.7337573385518591,0.5095401174168297,intermittent,0
2022-04-01,14,C地彩虹南路店,11002170,三养辣火鸡味拌面,速食类,730,115.0,0.15753424657534246,0.8602739726027397,0.13972602739726028,0.14285714285714285,0.33091976516634053,0.411839530332681,0.2530724070450098,very_sparse,1
2022-04-01,14,C地彩虹南路店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,2406.0,3.2958904109589042,0.4273972602739726,0.5726027397260274,5.107142857142857,3.6587084148727986,3.6587084148727986,4.382925636007828,volatile,0
2022-04-01,14,C地彩虹南路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,303.0,0.41506849315068495,0.7534246575342466,0.2465753424657534,0.0,0.43679060665362035,0.7337573385518591,0.2777886497064579,low_volume_intermittent,1
2022-04-01,14,C地彩虹南路店,11004973,特仑苏纯牛奶,乳类饮品,730,502.0,0.6876712328767123,0.5808219178082191,0.4191780821917808,0.5357142857142857,0.3219178082191781,1.0371232876712329,0.5718571428571428,intermittent,0
2022-04-01,14,C地彩虹南路店,11005780,大丰古法瓜子,包装坚果,730,727.0,0.9958904109589041,0.4904109589041096,0.5095890410958904,0.5714285714285714,0.7960861056751468,0.7960861056751468,0.683757338551859,regular,0
2022-04-01,14,C地彩虹南路店,11008516,李子柒螺蛳粉335g,速食类,730,228.0,0.31232876712328766,0.836986301369863,0.16301369863013698,0.8571428571428571,0.49275929549902153,0.411839530332681,0.6587671232876712,low_volume_intermittent,1
2022-04-01,14,C地彩虹南路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,730,13.0,0.01780821917808219,0.9835616438356164,0.01643835616438356,0.0,0.026027397260273973,0.026027397260273973,0.013013698630136987,very_sparse,1
2022-04-01,14,C地彩虹南路店,12000134,百事可乐600ml,碳酸饮料,730,1826.0,2.5013698630136987,0.19863013698630136,0.8013698630136986,2.0357142857142856,2.4101761252446186,2.0853228962818005,2.1579745596868882,regular,0
2022-04-01,14,C地彩虹南路店,12000292,红牛,功能饮料,730,4313.0,5.9082191780821915,0.0410958904109589,0.958904109589041,6.357142857142857,6.089823874755382,6.089823874755382,6.22348336594912,regular,0
2022-04-01,14,C地彩虹南路店,12001131,旺仔牛奶,乳类饮品,730,682.0,0.9342465753424658,0.6493150684931507,0.3506849315068493,1.6428571428571428,1.3436399217221136,1.0371232876712329,1.4319452054794521,intermittent,0
2022-04-01,18,A地天九街店,11000405,百事可乐330ml,碳酸饮料,730,1012.0,1.3863013698630138,0.736986301369863,0.26301369863013696,6.285714285714286,1.7604696673189824,2.0853228962818005,4.088062622309198,intermittent,0
2022-04-01,18,A地天九街店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,484.0,0.663013698630137,0.7410958904109589,0.2589041095890411,1.3928571428571428,1.030724070450098,0.7337573385518591,1.1523972602739727,intermittent,0
2022-04-01,18,A地天九街店,11002170,三养辣火鸡味拌面,速食类,730,214.0,0.29315068493150687,0.8438356164383561,0.15616438356164383,0.8928571428571429,0.33091976516634053,0.411839530332681,0.6280724070450098,low_volume_intermittent,1
2022-04-01,18,A地天九街店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,1543.0,2.1136986301369864,0.7095890410958904,0.29041095890410956,7.642857142857143,3.6587084148727986,3.6587084148727986,5.650782778864971,intermittent,0
2022-04-01,18,A地天九街店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,7.0,0.009589041095890411,0.9904109589041096,0.009589041095890411,0.25,0.43679060665362035,0.7337573385518591,0.4027886497064579,very_sparse,1
2022-04-01,18,A地天九街店,11005780,大丰古法瓜子,包装坚果,730,386.0,0.5287671232876713,0.7356164383561644,0.26438356164383564,1.25,0.7960861056751468,0.7960861056751468,1.0230430528375734,intermittent,0
2022-04-01,18,A地天九街店,11008516,李子柒螺蛳粉335g,速食类,730,108.0,0.14794520547945206,0.9013698630136986,0.09863013698630137,0.0,0.49275929549902153,0.411839530332681,0.23019569471624265,very_sparse,1
2022-04-01,18,A地天九街店,12000134,百事可乐600ml,碳酸饮料,730,1208.0,1.6547945205479453,0.5986301369863014,0.40136986301369865,3.8214285714285716,2.4101761252446186,2.0853228962818005,3.0508317025440315,intermittent,0
2022-04-01,18,A地天九街店,12000292,红牛,功能饮料,730,6531.0,8.946575342465753,0.5876712328767123,0.4123287671232877,11.178571428571429,6.089823874755382,6.089823874755382,8.634197651663404,intermittent,0
2022-04-01,18,A地天九街店,12001131,旺仔牛奶,乳类饮品,730,1079.0,1.478082191780822,0.6972602739726027,0.30273972602739724,2.107142857142857,1.3436399217221136,1.0371232876712329,1.6640880626223093,intermittent,0
2022-04-01,23,C地姜山店,11000405,百事可乐330ml,碳酸饮料,730,525.0,0.7191780821917808,0.6383561643835617,0.36164383561643837,0.8571428571428571,1.7604696673189824,2.0853228962818005,1.3737769080234834,intermittent,0
2022-04-01,23,C地姜山店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,730.0,1.0,0.4849315068493151,0.5150684931506849,1.3571428571428572,1.030724070450098,0.7337573385518591,1.1345401174168297,regular,0
2022-04-01,23,C地姜山店,11002170,三养辣火鸡味拌面,速食类,730,332.0,0.4547945205479452,0.6726027397260274,0.3273972602739726,1.0357142857142858,0.33091976516634053,0.411839530332681,0.6995009784735813,low_volume_intermittent,1
2022-04-01,23,C地姜山店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,1955.0,2.6780821917808217,0.4191780821917808,0.5808219178082191,7.25,3.6587084148727986,3.6587084148727986,5.454354207436399,volatile,0
2022-04-01,23,C地姜山店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,766.0,1.0493150684931507,0.536986301369863,0.46301369863013697,0.9642857142857143,0.43679060665362035,0.7337573385518591,0.7599315068493151,intermittent,0
2022-04-01,23,C地姜山店,11004973,特仑苏纯牛奶,乳类饮品,730,69.0,0.09452054794520548,0.9328767123287671,0.06712328767123288,0.0,0.3219178082191781,1.0371232876712329,0.304,very_sparse,1
2022-04-01,23,C地姜山店,11005780,大丰古法瓜子,包装坚果,730,871.0,1.1931506849315068,0.42876712328767125,0.5712328767123288,0.8928571428571429,0.7960861056751468,0.7960861056751468,0.8444716242661449,regular,0
2022-04-01,23,C地姜山店,11008516,李子柒螺蛳粉335g,速食类,730,538.0,0.736986301369863,0.589041095890411,0.410958904109589,1.4642857142857142,0.49275929549902153,0.411839530332681,0.9623385518590998,intermittent,0
2022-04-01,23,C地姜山店,12000134,百事可乐600ml,碳酸饮料,730,1159.0,1.5876712328767124,0.29726027397260274,0.7027397260273973,1.3571428571428572,2.4101761252446186,2.0853228962818005,1.8186888454011743,regular,0
2022-04-01,23,C地姜山店,12000292,红牛,功能饮料,730,2953.0,4.045205479452055,0.23013698630136986,0.7698630136986301,2.5,6.089823874755382,6.089823874755382,4.294911937377691,regular,0
2022-04-01,23,C地姜山店,12001131,旺仔牛奶,乳类饮品,730,842.0,1.1534246575342466,0.5931506849315068,0.40684931506849314,0.32142857142857145,1.3436399217221136,1.0371232876712329,0.7712309197651663,intermittent,0
2022-04-01,47,C地桑田路店,11000405,百事可乐330ml,碳酸饮料,730,1956.0,2.6794520547945204,0.4643835616438356,0.5356164383561643,0.5714285714285714,1.7604696673189824,2.0853228962818005,1.2309197651663406,volatile,0
2022-04-01,47,C地桑田路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,1346.0,1.8438356164383563,0.4506849315068493,0.5493150684931507,1.8928571428571428,1.030724070450098,0.7337573385518591,1.4023972602739727,volatile,0
2022-04-01,47,C地桑田路店,11002170,三养辣火鸡味拌面,速食类,730,154.0,0.21095890410958903,0.8273972602739726,0.1726027397260274,0.42857142857142855,0.33091976516634053,0.411839530332681,0.3959295499021526,low_volume_intermittent,1
2022-04-01,47,C地桑田路店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,4424.0,6.06027397260274,0.2726027397260274,0.7273972602739726,6.642857142857143,3.6587084148727986,3.6587084148727986,5.150782778864971,regular,0
2022-04-01,47,C地桑田路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,418.0,0.5726027397260274,0.6876712328767123,0.31232876712328766,1.3928571428571428,0.43679060665362035,0.7337573385518591,0.9742172211350293,intermittent,0
2022-04-01,47,C地桑田路店,11005780,大丰古法瓜子,包装坚果,730,422.0,0.5780821917808219,0.6876712328767123,0.31232876712328766,1.3928571428571428,0.7960861056751468,0.7960861056751468,1.0944716242661447,intermittent,0
2022-04-01,47,C地桑田路店,11008516,李子柒螺蛳粉335g,速食类,730,308.0,0.42191780821917807,0.7575342465753425,0.24246575342465754,0.8928571428571429,0.49275929549902153,0.411839530332681,0.6766242661448141,low_volume_intermittent,1
2022-04-01,47,C地桑田路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,730,23.0,0.031506849315068496,0.9904109589041096,0.009589041095890411,0.0,0.026027397260273973,0.026027397260273973,0.013013698630136987,very_sparse,1
2022-04-01,47,C地桑田路店,12000134,百事可乐600ml,碳酸饮料,730,1654.0,2.265753424657534,0.26575342465753427,0.7342465753424657,2.3214285714285716,2.4101761252446186,2.0853228962818005,2.3008317025440315,regular,0
2022-04-01,47,C地桑田路店,12000292,红牛,功能饮料,730,3278.0,4.49041095890411,0.29315068493150687,0.7068493150684931,1.6785714285714286,6.089823874755382,6.089823874755382,3.8841976516634054,volatile,0
2022-04-01,47,C地桑田路店,12001131,旺仔牛奶,乳类饮品,730,941.0,1.289041095890411,0.5342465753424658,0.4657534246575342,1.3571428571428572,1.3436399217221136,1.0371232876712329,1.2890880626223093,intermittent,0
2022-04-01,69,B地江山店店,11000405,百事可乐330ml,碳酸饮料,730,3524.0,4.8273972602739725,0.26301369863013696,0.736986301369863,6.071428571428571,1.7604696673189824,2.0853228962818005,3.98091976516634,regular,0
2022-04-01,69,B地江山店店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,1510.0,2.0684931506849313,0.5191780821917809,0.4808219178082192,1.7142857142857142,1.030724070450098,0.7337573385518591,1.3131115459882583,intermittent,0
2022-04-01,69,B地江山店店,11002170,三养辣火鸡味拌面,速食类,730,284.0,0.38904109589041097,0.726027397260274,0.273972602739726,0.8571428571428571,0.33091976516634053,0.411839530332681,0.6102152641878669,low_volume_intermittent,1
2022-04-01,69,B地江山店店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,3887.0,5.324657534246575,0.4506849315068493,0.5493150684931507,15.678571428571429,3.6587084148727986,3.6587084148727986,9.668639921722114,volatile,0
2022-04-01,69,B地江山店店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,525.0,0.7191780821917808,0.7095890410958904,0.29041095890410956,0.5714285714285714,0.43679060665362035,0.7337573385518591,0.5635029354207436,intermittent,0
2022-04-01,69,B地江山店店,11005780,大丰古法瓜子,包装坚果,730,1128.0,1.5452054794520549,0.3835616438356164,0.6164383561643836,1.1071428571428572,0.7960861056751468,0.7960861056751468,0.951614481409002,regular,0
2022-04-01,69,B地江山店店,11008516,李子柒螺蛳粉335g,速食类,730,784.0,1.073972602739726,0.5767123287671233,0.4232876712328767,2.0,0.49275929549902153,0.411839530332681,1.2301956947162425,intermittent,0
2022-04-01,69,B地江山店店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,730,21.0,0.028767123287671233,0.9931506849315068,0.00684931506849315,0.0,0.026027397260273973,0.026027397260273973,0.013013698630136987,very_sparse,1
2022-04-01,69,B地江山店店,12000134,百事可乐600ml,碳酸饮料,730,3325.0,4.554794520547945,0.24794520547945206,0.7520547945205479,6.892857142857143,2.4101761252446186,2.0853228962818005,4.586545988258317,regular,0
2022-04-01,69,B地江山店店,12000292,红牛,功能饮料,730,5159.0,7.067123287671233,0.21643835616438356,0.7835616438356164,10.0,6.089823874755382,6.089823874755382,8.044911937377691,volatile,0
2022-04-01,69,B地江山店店,12001131,旺仔牛奶,乳类饮品,730,1626.0,2.2273972602739724,0.4520547945205479,0.547945205479452,2.642857142857143,1.3436399217221136,1.0371232876712329,1.9319452054794521,volatile,0
2022-04-01,178,C地五乡镇店,11000405,百事可乐330ml,碳酸饮料,730,690.0,0.9452054794520548,0.7931506849315069,0.20684931506849316,1.8928571428571428,1.7604696673189824,2.0853228962818005,1.8916340508806262,low_volume_intermittent,1
2022-04-01,178,C地五乡镇店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,458.0,0.6273972602739726,0.7479452054794521,0.25205479452054796,0.7142857142857143,1.030724070450098,0.7337573385518591,0.8131115459882583,intermittent,0
2022-04-01,178,C地五乡镇店,11002170,三养辣火鸡味拌面,速食类,730,573.0,0.7849315068493151,0.6424657534246575,0.35753424657534244,1.1785714285714286,0.33091976516634053,0.411839530332681,0.7709295499021527,intermittent,0
2022-04-01,178,C地五乡镇店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,4230.0,5.794520547945205,0.5506849315068493,0.44931506849315067,8.678571428571429,3.6587084148727986,3.6587084148727986,6.168639921722114,intermittent,0
2022-04-01,178,C地五乡镇店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,177.0,0.24246575342465754,0.8876712328767123,0.11232876712328767,0.0,0.43679060665362035,0.7337573385518591,0.2777886497064579,very_sparse,1
2022-04-01,178,C地五乡镇店,11004973,特仑苏纯牛奶,乳类饮品,730,134.0,0.18356164383561643,0.8602739726027397,0.13972602739726028,0.39285714285714285,0.3219178082191781,1.0371232876712329,0.5004285714285714,very_sparse,1
2022-04-01,178,C地五乡镇店,11005780,大丰古法瓜子,包装坚果,730,492.0,0.673972602739726,0.7520547945205479,0.24794520547945206,1.3928571428571428,0.7960861056751468,0.7960861056751468,1.0944716242661447,low_volume_intermittent,1
2022-04-01,178,C地五乡镇店,11008516,李子柒螺蛳粉335g,速食类,730,544.0,0.7452054794520548,0.7205479452054795,0.27945205479452057,2.2857142857142856,0.49275929549902153,0.411839530332681,1.3730528375733853,intermittent,0
2022-04-01,178,C地五乡镇店,12000134,百事可乐600ml,碳酸饮料,730,3009.0,4.1219178082191785,0.5095890410958904,0.4904109589041096,6.178571428571429,2.4101761252446186,2.0853228962818005,4.22940313111546,intermittent,0
2022-04-01,178,C地五乡镇店,12000292,红牛,功能饮料,730,8727.0,11.954794520547946,0.46164383561643835,0.5383561643835616,18.035714285714285,6.089823874755382,6.089823874755382,12.062769080234833,volatile,0
