product_id,product_name,category,total_sales,mean_daily_sales,cv,zero_sales_ratio,trend_slope_per_day
12000292,红牛,功能饮料,31119.0,42.62876712328767,2.484566092831124,0.0027397260273972603,0.08592077138573141
11002561,乡吧哥蜜汁鸡翅,包装散称,18696.0,25.610958904109587,0.9867158785768575,0.0273972602739726,0.06209900681017786
12000134,百事可乐600ml,碳酸饮料,12316.0,16.87123287671233,0.6610283346259904,0.0027397260273972603,0.026402967670221086
11000405,百事可乐330ml,碳酸饮料,8996.0,12.323287671232876,0.9145695480374469,0.031506849315068496,0.010764074212114562
12001131,旺仔牛奶,乳类饮品,6866.0,9.405479452054795,1.1291521230448824,0.06712328767123288,0.019444369254787205
11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,5267.0,7.215068493150685,0.957156102258593,0.03972602739726028,0.0010250625250198357
11005780,大丰古法瓜子,包装坚果,4068.0,5.572602739726028,0.835079660967097,0.03972602739726028,0.006880709642298506
11008516,李子柒螺蛳粉335g,速食类,2518.0,3.4493150684931506,1.166215761350298,0.3273972602739726,0.01128976944846034
11002605,老板仔香脆海苔卷（原味）,包装海苔,2232.0,3.0575342465753423,1.1834265044306127,0.25205479452054796,0.0028993131829679014
11002170,三养辣火鸡味拌面,速食类,1691.0,2.3164383561643835,1.1475044984984193,0.273972602739726,0.006773685840954669
11004973,特仑苏纯牛奶,乳类饮品,705.0,0.9657534246575342,1.5118098876384307,0.4643835616438356,8.160584131866678e-05
11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,57.0,0.07808219178082192,10.260398489445011,0.9767123287671233,7.568320985649256e-05
