calendar_segment,definition,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias,bias_pct_of_actual,n,date_count
工作日,is_weekend=0 且 is_holiday=0,1.736563921871127,3.615225899704159,0.7917148054121514,79.17148054121515,3334.0,3426.933386880757,2639.577161244113,92.9333868807571,0.027874441175991933,1520,20
周末,is_weekend=1,1.9725717915794623,3.9646316098339054,0.6944549214130359,69.44549214130359,1727.0,1512.7828936180108,1199.323649280313,-214.2171063819892,-0.12404001527619525,608,8
非周末,is_weekend=0,1.736563921871127,3.615225899704159,0.7917148054121514,79.17148054121515,3334.0,3426.933386880757,2639.577161244113,92.9333868807571,0.027874441175991933,1520,20
活动日,is_activity_day=1,3.138996060299222,7.181822791134589,0.621259636934221,62.1259636934221,384.0,247.10546322199647,238.5637005827409,-136.89453677800353,-0.35649618952605083,76,1
非活动日,is_activity_day=0,1.7545502485095932,3.525384234000328,0.7697962604108799,76.97962604108798,4677.0,4692.610817276771,3600.3371099416854,15.610817276770831,0.0033377843225937207,2052,27
节假日,is_holiday=1,,,,,0.0,0.0,0.0,0.0,,0,0
非节假日,is_holiday=0,1.8039947417877944,3.7184078607622046,0.7585261431583534,75.85261431583534,5061.0,4939.716280498767,3838.9008105244266,-121.28371950123255,-0.023964378482756878,2128,28
