level,previous_model,previous_WAPE,q4_model,q4_WAPE,relative_wape_improvement_pct
store_product,问题一门店-商品简单指数平滑,0.751012867316391,综合Ridge回归,0.7309078031935045,2.677059874450409
store_category,问题二-门店-单品预测后按门店类别加总-简单指数平滑,0.6961064706090452,综合Ridge回归,0.6751167801428353,3.0152988590732934
category,问题二-类别聚合后直接预测-简单指数平滑,0.34907829317840366,综合Ridge回归,0.3339502401226695,4.33371348243721
