validation_mode,level,model,model_label,strategy_rule,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,bias,bias_pct_of_actual,n,WAPE_pct_point_change_vs_q1,WAPE_pct_point_change_vs_ridge
strict_recursive_7day,category,ridge_low_volume_shrunk,低销量收缩Ridge,低销量序列用 50% Ridge + 50% 历史层级均值收缩，其余保持 Ridge,7.718922752035714,13.853074420841518,0.34163973452993474,34.163973452993474,5061.0,5036.1111004783215,-24.888899521678468,-0.004917782952317421,224,-42.18216722248508,-42.51988707957409
strict_recursive_7day,category,hybrid_low_shrunk_regular_ridge,低销量收缩-常规Ridge混合,低销量序列使用收缩指数平滑，非低销量序列使用完整 Ridge,7.7232136735334445,13.938295537696204,0.34182965083412203,34.182965083412206,5061.0,4996.782539122047,-64.21746087795327,-0.012688690155691221,224,-42.163175592066345,-42.50089544915536
strict_recursive_7day,category,hybrid_low_q1_regular_ridge,低销量指数平滑-常规Ridge混合,低销量序列使用指数平滑，非低销量序列使用完整 Ridge,7.752738858265567,14.002820948640876,0.3431364363271067,34.31364363271067,5061.0,4939.716280498767,-121.28371950123255,-0.023964378482756878,224,-42.03249704276788,-42.37021689985689
strict_recursive_7day,category,ridge_full_external,完整综合Ridge,原问题四完整综合 Ridge，作为综合模型基准,7.7887590079020645,13.858142604446213,0.3447306891464261,34.47306891464261,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,224,-41.87307176083594,-42.210791617924954
strict_recursive_7day,category,q1_store_product_exp_smoothing,问题一简单指数平滑,原问题一门店-商品指数平滑，作为严格递推强基准,8.126639157522604,14.552257272596073,0.35968527391524663,35.96852739152466,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,224,-40.37761328395389,-40.715333141042905
strict_recursive_7day,category,q1_low_volume_shrunk,低销量收缩指数平滑,低销量序列用 50% 指数平滑 + 50% 历史层级均值收缩，其余保持指数平滑,8.15057660758478,14.511459451111614,0.36074474611716867,36.074474611716866,5061.0,4789.927922157387,-271.072077842613,-0.05356097171361648,224,-40.271666063761685,-40.6093859208507
strict_recursive_7day,product,hybrid_low_q1_regular_ridge,低销量指数平滑-常规Ridge混合,低销量序列使用指数平滑，非低销量序列使用完整 Ridge,5.733834406168873,10.965376062159205,0.38066950414399153,38.06695041439915,5061.0,4939.716280498767,-121.28371950123255,-0.023964378482756878,336,-38.2791902610794,-38.61691011816841
strict_recursive_7day,product,hybrid_low_shrunk_regular_ridge,低销量收缩-常规Ridge混合,低销量序列使用收缩指数平滑，非低销量序列使用完整 Ridge,5.738738266208075,10.944642945815627,0.38099507161547386,38.099507161547386,5061.0,4996.782539122047,-64.21746087795327,-0.012688690155691221,336,-38.246633513931165,-38.58435337102018
strict_recursive_7day,product,ridge_low_volume_shrunk,低销量收缩Ridge,低销量序列用 50% Ridge + 50% 历史层级均值收缩，其余保持 Ridge,5.779420425046783,10.910705673506127,0.38369596182883203,38.3695961828832,5061.0,5036.1111004783215,-24.888899521678468,-0.004917782952317421,336,-37.97654449259535,-38.314264349684365
strict_recursive_7day,product,ridge_full_external,完整综合Ridge,原问题四完整综合 Ridge，作为综合模型基准,5.823261417760985,10.905221441722288,0.3866065671542563,38.66065671542563,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,336,-37.68548396005292,-38.02320381714193
strict_recursive_7day,product,q1_store_product_exp_smoothing,问题一简单指数平滑,原问题一门店-商品指数平滑，作为严格递推强基准,5.883369771367517,11.257313988452806,0.3905971632443164,39.05971632443164,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,336,-37.28642435104691,-37.624144208135924
strict_recursive_7day,product,q1_low_volume_shrunk,低销量收缩指数平滑,低销量序列用 50% 指数平滑 + 50% 历史层级均值收缩，其余保持指数平滑,5.90185415849749,11.230112934993722,0.39182434247286235,39.18243424728624,5061.0,4789.927922157387,-271.072077842613,-0.05356097171361648,336,-37.16370642819231,-37.501426285281326
strict_recursive_7day,store,ridge_full_external,完整综合Ridge,原问题四完整综合 Ridge，作为综合模型基准,9.52705500085687,14.447078843659094,0.3689592531452177,36.89592531452177,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,196,-39.45021536095678,-39.787935218045796
strict_recursive_7day,store,hybrid_low_q1_regular_ridge,低销量指数平滑-常规Ridge混合,低销量序列使用指数平滑，非低销量序列使用完整 Ridge,9.586095962744132,14.747672305742858,0.37124576342577553,37.124576342577555,5061.0,4939.716280498767,-121.28371950123255,-0.023964378482756878,196,-39.221564332900996,-39.55928418999001
strict_recursive_7day,store,ridge_low_volume_shrunk,低销量收缩Ridge,低销量序列用 50% Ridge + 50% 历史层级均值收缩，其余保持 Ridge,9.794877777635234,14.673693955926726,0.3793313662154724,37.93313662154724,5061.0,5036.111100478322,-24.88889952167756,-0.0049177829523172414,196,-38.41300405393131,-38.75072391102032
strict_recursive_7day,store,q1_store_product_exp_smoothing,问题一简单指数平滑,原问题一门店-商品指数平滑，作为严格递推强基准,9.810171153182491,15.963126120538085,0.3799236407871504,37.99236407871504,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,196,-38.35377659676351,-38.69149645385252
strict_recursive_7day,store,hybrid_low_shrunk_regular_ridge,低销量收缩-常规Ridge混合,低销量序列使用收缩指数平滑，非低销量序列使用完整 Ridge,9.823307287764724,14.843796384258765,0.3804323707571401,38.04323707571401,5061.0,4996.782539122047,-64.21746087795327,-0.012688690155691221,196,-38.30290359976454,-38.640623456853554
strict_recursive_7day,store,q1_low_volume_shrunk,低销量收缩指数平滑,低销量序列用 50% 指数平滑 + 50% 历史层级均值收缩，其余保持指数平滑,10.056472515341566,16.041630133092294,0.38946228275181727,38.946228275181724,5061.0,4789.927922157387,-271.072077842613,-0.05356097171361648,196,-37.39991240029683,-37.73763225738584
strict_recursive_7day,store_product,hybrid_low_q1_regular_ridge,低销量指数平滑-常规Ridge混合,低销量序列使用指数平滑，非低销量序列使用完整 Ridge,1.8039947417877944,3.7184078607622046,0.7585261431583534,75.85261431583534,5061.0,4939.716280498767,-121.28371950123255,-0.023964378482756878,2128,-0.49352635964321223,-0.8312462167322252
strict_recursive_7day,store_product,q1_store_product_exp_smoothing,问题一简单指数平滑,原问题一门店-商品指数平滑，作为严格递推强基准,1.815732227249046,3.772464167389725,0.7634614067547855,76.34614067547855,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,2128,0.0,-0.337719857089013
strict_recursive_7day,store_product,hybrid_low_shrunk_regular_ridge,低销量收缩-常规Ridge混合,低销量序列使用收缩指数平滑，非低销量序列使用完整 Ridge,1.823175817593253,3.7093389752204677,0.7665912151429446,76.65912151429445,5061.0,4996.782539122047,-64.21746087795327,-0.012688690155691221,2128,0.31298083881590344,-0.024739018273109536
strict_recursive_7day,store_product,ridge_full_external,完整综合Ridge,原问题四完整综合 Ridge，作为综合模型基准,1.8237641830607354,3.702480935647709,0.7668386053256757,76.68386053256756,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,2128,0.337719857089013,0.0
strict_recursive_7day,store_product,q1_low_volume_shrunk,低销量收缩指数平滑,低销量序列用 50% 指数平滑 + 50% 历史层级均值收缩，其余保持指数平滑,1.8349133030545048,3.7635255424071357,0.7715264787393769,77.15264787393768,5061.0,4789.927922157387,-271.072077842613,-0.05356097171361648,2128,0.8065071984591299,0.4687873413701169
strict_recursive_7day,store_product,ridge_low_volume_shrunk,低销量收缩Ridge,低销量序列用 50% Ridge + 50% 历史层级均值收缩，其余保持 Ridge,1.837725905123184,3.7045034779042623,0.7727090942703291,77.2709094270329,5061.0,5036.1111004783215,-24.888899521678468,-0.004917782952317421,2128,0.9247687515543532,0.5870488944653403
