validation_mode,level,model,model_label,MAE,RMSE,WAPE,actual_sum,prediction_sum,n,WAPE_pct
strict_recursive_7day,store_product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,1.8157322272490461,3.772464167389725,0.7634614067547856,5061.0,4732.861663534108,2128,76.34614067547855
strict_recursive_7day,store_product,ridge,综合Ridge回归,1.8237641830607356,3.7024809356477086,0.7668386053256758,5061.0,5018.373403211319,2128,76.68386053256758
strict_recursive_7day,store_product,baseline_rolling_mean_14,Baseline滚动均值(14日),1.8469090790815068,3.819260102850121,0.7765703458378673,5061.0,4788.147203047154,2128,77.65703458378674
strict_recursive_7day,store_product,baseline_moving_average_7,Baseline移动平均(7日),1.8652681056621856,3.7969509585657097,0.7842897705688858,5061.0,4900.266964809366,2128,78.42897705688858
strict_recursive_7day,store_product,random_forest,综合随机森林,1.98818437658667,4.841926014154908,0.8359724073061516,5061.0,5704.650371416024,2128,83.59724073061517
strict_recursive_7day,store,ridge,综合Ridge回归,9.527055000856873,14.447078843659092,0.36895925314521777,5061.0,5018.373403211319,196,36.895925314521776
strict_recursive_7day,store,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,9.81017115318249,15.963126120538083,0.37992364078715035,5061.0,4732.861663534108,196,37.992364078715035
strict_recursive_7day,store,baseline_moving_average_7,Baseline移动平均(7日),9.978367274578453,15.773037641756574,0.38643746014964964,5061.0,4900.266964809367,196,38.64374601496496
strict_recursive_7day,store,baseline_rolling_mean_14,Baseline滚动均值(14日),10.148811326219006,16.307032049048086,0.39303833628510676,5061.0,4788.147203047154,196,39.303833628510674
strict_recursive_7day,store,random_forest,综合随机森林,11.076586933377447,17.615276143717214,0.42896878856786796,5061.0,5704.650371416024,196,42.8968788567868
strict_recursive_7day,product,ridge,综合Ridge回归,5.8232614177609845,10.905221441722288,0.38660656715425623,5061.0,5018.373403211319,336,38.660656715425624
strict_recursive_7day,product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,5.883369771367516,11.257313988452804,0.39059716324431637,5061.0,4732.861663534108,336,39.05971632443163
strict_recursive_7day,product,baseline_moving_average_7,Baseline移动平均(7日),6.082134318253137,11.354085545535156,0.40379314975954433,5061.0,4900.266964809366,336,40.379314975954436
strict_recursive_7day,product,baseline_rolling_mean_14,Baseline滚动均值(14日),6.15741157016797,11.820357649850862,0.40879080963770753,5061.0,4788.147203047154,336,40.879080963770754
strict_recursive_7day,product,random_forest,综合随机森林,6.4205105463445005,12.85141125710127,0.4262579615830374,5061.0,5704.650371416024,336,42.62579615830374
strict_recursive_7day,category,ridge,综合Ridge回归,7.7887590079020645,13.858142604446213,0.3447306891464261,5061.0,5018.373403211319,224,34.47306891464261
strict_recursive_7day,category,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,8.126639157522604,14.552257272596073,0.35968527391524663,5061.0,4732.861663534109,224,35.96852739152466
strict_recursive_7day,category,baseline_moving_average_7,Baseline移动平均(7日),8.245495139381221,14.547199379476858,0.3649458429601647,5061.0,4900.266964809366,224,36.49458429601647
strict_recursive_7day,category,baseline_rolling_mean_14,Baseline滚动均值(14日),8.55089867866421,15.17550411665241,0.37846301205706046,5061.0,4788.147203047154,224,37.84630120570605
strict_recursive_7day,category,random_forest,综合随机森林,8.7977787584894,16.757342906424935,0.38938993121944787,5061.0,5704.650371416025,224,38.93899312194479
